產品品號,單位,品      名,規      格,生產入庫,託外進貨,材料在製約量,人工製費在製約量,加工費用在製約量,材料成本,單位材料成本,材料成本(％),人工成本,單位人工成本,人工成本(％),製造費用,單位製造費用,製造費用(％),加工費用,單位加工費用,加工費用(％),生產成本,單位生產成本,本階人工成本,本階製造費用,本階加工費用
41017-0083301,PCS,TG6050 15*8*4.0mm 不背膠,長±0.3寬±0.2厚+0.4-0.2 1000PCS/4000箱 半斷/透明保護膜,768,,,,,618,0.8047,43.22,255,0.332,17.83,557,0.7253,38.95,,,,1430,1.862,233,503,
41017-0083401,PCS,TGX 13*13*1.0mm 不背膠,長寬±0.3厚±0.10 1000PCS/40000箱 膜斷/藍色保護膜/加拉拔5mm(13),500,,,,,320,0.64,34.67,191,0.382,20.69,412,0.824,44.64,,,,923,1.846,191,412,
41017-0083501,PCS,TGX 16*16*1.0mm 不背膠,長寬±0.3厚±0.10 1000PCS/25000箱 膜斷/藍色保護膜/加拉拔5mm(16),500,,,,,481,0.962,30.21,352,0.704,22.11,759,1.518,47.68,,,,1592,3.184,352,759,
41017-0083601,PCS,TGX 12*12*2.0mm 不背膠,長寬±0.3厚±0.20 1000PCS/20000箱 半斷/透明保護膜,210,,,,,195,0.9286,40.97,89,0.4238,18.7,192,0.9143,40.34,,,,476,2.2667,89,192,
41017-0083801,PCS,TG6050 28*28*1.0mm 不背膠,長寬±0.3厚±0.10 100PCS/8000箱 半斷/透明保護膜,1500,,,,,2733,1.822,53.81,737,0.4913,14.51,1609,1.0727,31.68,,,,5079,3.386,666,1434,
41017-0084001,PCS,TG6050 20*10*6.0mm 不背膠,長±0.3寬±0.2厚±0.40 1000PCS/4000箱 半斷/透明保護膜,240,,572.883,572.883,,1635,2.0114,76.83,154,0.1894,7.24,339,0.417,15.93,,,,2128,2.6178,131,283,
41017-0084501,PCS,TG6050 10*10*5.5mm 不背膠,長寬±0.2厚±0.35 1000PCS/12000箱 半斷/透明保護膜,409,,,,,396,0.9682,52.45,112,0.2738,14.83,247,0.6039,32.72,,,,755,1.8459,88,189,
41017-0084901,PCS,TG6050 12*12*2.0mm 不背膠,長寬±0.3厚±0.20 1000PCS/20000箱 半斷/透明保護膜,340,,,,,154,0.4529,26.97,132,0.3882,23.12,285,0.8382,49.91,,,,571,1.6793,132,285,
41017-0085001,PCS,TG6050 16*10*1.5mm 不背膠,長±0.3寬±0.2厚±0.15 1000PCS/25000箱 半斷/透明保護膜,270,,29.911,29.911,,264,0.8803,53.33,73,0.2434,14.75,158,0.5268,31.92,,,,495,1.6505,73,158,
41017-0085301,PCS,TG6050 15*10*2.5mm 不背膠,長±0.3寬±0.2厚±0.25 1000PCS/15000箱 半斷/透明保護膜,120,,,,,225,1.875,40.04,107,0.8917,19.04,230,1.9167,40.93,,,,562,4.6834,107,230,
41017-0085501,PCS,TG6050 11*7*2.5mm 不背膠,長±0.3寬±0.2厚±0.25 3000PCS/30000箱 半斷/透明保護膜,520,,611.965,611.965,,675,0.5963,55.79,162,0.1431,13.39,373,0.3295,30.83,,,,1210,1.0689,82,175,
41017-0085601,PCS,TG6050 7*7*1.8mm 不背膠,長寬±0.2厚±0.15 1000PCS/70000箱 半斷/透明保護膜,860,,,,,144,0.1674,19.07,194,0.2256,25.7,417,0.4849,55.23,,,,755,0.8779,194,417,
41017-0085901,PCS,TG2030 40*30*2.0mm 不背膠,長±0.4寬±0.3厚±0.20 1000PCS/2000箱 半斷/透明保護膜,6600,,,,,27663,4.1914,90.33,938,0.1421,3.06,2022,0.3064,6.6,,,,30623,4.6399,938,2022,
41017-0086701,PCS,TG6050 10*10*3.5mm 不背膠,長寬±0.2厚±0.25 1000PCS/20000箱 半斷/透明保護膜,806,,,,,568,0.7047,40.6,262,0.3251,18.73,569,0.706,40.67,,,,1399,1.7358,241,518,
41017-0087401,PCS,TG4040 30*30*1.0mm 不背膠,長寬±0.3厚±0.10 1000PCS/7000箱 半斷/格紋膜/透明封箱膠帶,255,,,,,611,2.3961,45.53,232,0.9098,17.29,499,1.9569,37.18,,,,1342,5.2628,232,499,
41017-0087501,PCS,TG4040 20*20*2.5mm 不背膠,長寬±0.3厚±0.25 1000PCS/6000箱 半斷/格紋膜/透明封箱膠帶,280,,,,,488,1.7429,52.81,138,0.4929,14.94,298,1.0643,32.25,,,,924,3.3001,138,298,
41017-0088501,PCS,TG2030 20*20*2.0mm 不背膠,長寬±0.3厚±0.20 1000PCS/9000箱 半斷/透明保護膜,750,,,,,1140,1.52,67.38,175,0.2333,10.34,377,0.5027,22.28,,,,1692,2.256,175,377,
41017-0089601,PCS,TGX 150*150*1.0mm 不背膠,長寬±0.8厚±0.10 10PCS/300箱 全斷/格紋膜,28,,,,,2430,86.7857,81.54,174,6.2143,5.84,376,13.4286,12.62,,,,2980,106.4286,174,376,
41017-0092801,PCS,TG6050 24*24*2.0mm 不背膠,長寬±0.3厚±0.20 1000PCS/6000箱 半斷/透明保護膜,174,,,,,461,2.6494,26.63,394,2.2644,22.76,876,5.0345,50.61,,,,1731,9.9483,306,660,
41017-0092901,PCS,TG6050 34*30*1.0mm 不背膠,長±0.4寬±0.3厚±0.10 1000PCS/7000箱 半斷/格紋膜,47,,,,,210,4.4681,24.11,210,4.4681,24.11,451,9.5957,51.78,,,,871,18.5319,210,451,
41017-0093101,PCS,TG6050 50*38*2.0mm 不背膠,長寬±0.4厚±0.20 500PCS/1500箱 半斷/透明保護膜,233,,,,,1844,7.9142,53.6,500,2.1459,14.53,1096,4.7039,31.86,,,,3440,14.764,445,960,
41017-0093401,PCS,TG6050 60*60*3.0mm 不背膠,長寬±0.5厚±0.25 100PCS/500箱 半斷/透明保護膜,5,,,,,240,48,39.22,118,23.6,19.28,254,50.8,41.5,,,,612,122.4,118,254,
41017-0096001,PCS,TG6050 10*10*0.5mm 不背膠,長寬±0.2厚±0.05 1000PCS/140000箱 半斷/透明保護膜,852,,,,,156,0.1831,21.31,181,0.2124,24.73,395,0.4636,53.96,,,,732,0.8591,161,345,
41017-0096101,PCS,TG6050 28*17*1.0mm 不背膠,長寬±0.3厚±0.10 1000PCS/10000箱 半斷/透明保護膜,,,89.653,89.653,,101,1.1266,75.37,10,0.1115,7.46,23,0.2565,17.16,,,,134,1.4946,10,23,
41017-0096201,PCS,TG6050 28*28*1.0mm 不背膠,長寬±0.3厚±0.10 1000PCS/8000箱 半斷/透明保護膜,200,,291.908,291.908,,911,1.852,62.1,176,0.3578,12,380,0.7725,25.9,,,,1467,2.9823,176,380,
41017-0096401,PCS,TG6050 65*60*0.5mm 不背膠,長寬±0.5厚±0.05 1000PCS/3000箱 半斷/透明保護膜,100,,166.064,166.064,,2190,8.2311,64.05,389,1.4621,11.38,840,3.1571,24.57,,,,3419,12.8503,389,840,
41017-0096501,PCS,TG6050 30*30*3.0mm 不背膠,長寬±0.3厚±0.25 500PCS/2000箱 半斷/透明保護膜,833,,1035.91,1035.91,,9607,5.1404,85.46,513,0.2745,4.56,1122,0.6003,9.98,,,,11242,6.0152,457,984,
41017-0096601,PCS,TG6050 40*15*1.5mm 不背膠,長±0.4寬±0.3厚±0.15 1000PCS/5000箱 半斷/透明保護膜,90,,,,,264,2.9333,25,245,2.7222,23.2,547,6.0778,51.8,,,,1056,11.7333,188,405,
41017-0096801,PCS,TG4040LC 12*12*4.0mm 不背膠,長寬±0.3厚±0.30 1000PCS/10000箱 半斷/藍色亮面膜,100,,,,,312,3.12,45.81,117,1.17,17.18,252,2.52,37,,,,681,6.81,117,252,
41017-0099601,PCS,TG6050 6*3*6.0mm 不背膠,長寬±0.2厚±0.40 1000PCS/4000箱 半斷/透明保護膜/不要堆疊,2100,,,,,409,0.1948,40.86,186,0.0886,18.58,406,0.1933,40.56,,,,1001,0.4767,167,360,
41017-0100301,PCS,TG6050 20*10*3.5mm 不背膠,長±0.3寬±0.2厚±0.25 500PCS/9000箱 半斷/透明保護膜,200,,276.612,276.612,,852,1.7876,54.65,224,0.47,14.37,483,1.0134,30.98,,,,1559,3.271,224,483,
41017-0100801,PCS,TG6050 25*25*0.5mm 不背膠,長寬±0.3厚±0.05 1000PCS/20000箱 半斷/透明保護膜,204,,,,,313,1.5343,17.95,454,2.2255,26.03,977,4.7892,56.02,,,,1744,8.549,454,977,
41017-0100901,PCS,TG6050 47*24*1.5mm 不背膠,長±0.4寬±0.3厚±0.15 500PCS/3000箱 半斷/透明保護膜,221,,,,,1057,4.7828,38.69,529,2.3937,19.36,1146,5.1855,41.95,,,,2732,12.362,501,1078,
41017-0101201,PCS,TG6050 10*10*1.0mm 不背膠,長寬±0.2厚±0.10 1000PCS/60000箱 半斷/透明保護膜,460,,17.931,17.931,,202,0.4227,43.35,84,0.1758,18.03,180,0.3766,38.63,,,,466,0.9751,84,180,
41017-0102001,PCS,TG6050 8.5*7*4.0mm 不背膠,長寬±0.2厚±0.30 1000PCS/10000箱 半斷/透明保護膜,5360,,,,,2164,0.4037,58.55,482,0.0899,13.04,1050,0.1959,28.41,,,,3696,0.6895,444,956,
41017-0105501,PCS,TG2030 12*12*3.0mm 不背膠,長寬±0.3厚±0.25 1000PCS/10000箱 半斷/透明保護膜,1500,,,,,1075,0.7167,74.04,109,0.0727,7.51,268,0.1787,18.46,,,,1452,0.9681,,,
41017-0108701,PCS,TG2030 20*20*6.0mm 不背膠,長寬±0.3厚±0.40 500PCS/2000箱 半斷/透明保護膜,1000,,1.998,1.998,,3008,3.002,83.42,190,0.1896,5.27,408,0.4072,11.31,,,,3606,3.5988,190,408,
41017-0111201,PCS,TG2030 30*15*6.5mm 不背膠,長寛±0.3厚±0.40 500PCS/1000箱 半斷/透明保護膜,1000,,,,,4193,4.193,73.78,472,0.472,8.31,1018,1.018,17.91,,,,5683,5.683,472,1018,
41017-0114201,PCS,TG2030 45*13*4.0mm 不背膠,長±0.4寬±0.3厚±0.30 500PCS/2000箱 半斷/透明保護膜,880,,,,,2648,3.0091,72.83,313,0.3557,8.61,675,0.767,18.56,,,,3636,4.1318,313,675,
41017-0117501,PCS,TG2030 60*48*1.0mm 不背膠,長±0.5寬±0.4厚±0.10 200PCS/2000箱 半斷/透明保護膜,30,,,,,253,8.4333,42.45,109,3.6333,18.29,234,7.8,39.26,,,,596,19.8666,109,234,
41017-0122901,PCS,TG2030 11.9*7.8*2.0mm 不背膠,長寬±0.3厚±0.20 1000PCS/10000箱 膜斷/條狀/藍色保護膜/加拉拔15mm(7.8),1000,,,,,325,0.325,21.21,383,0.383,25,824,0.824,53.79,,,,1532,1.532,383,824,
41017-0124801,PCS,TG4040C 36.2*31.5*2.0mm 不背膠 沖型,長寬±0.4厚±0.20 500PCS/30000箱 半斷/藍色亮面膜/Z4001-0062101/量產模/8穴,200,,,,,1554,7.77,57.62,362,1.81,13.42,781,3.905,28.96,,,,2697,13.485,362,781,
41017-0128001,PCS,TG2030LC 210*23*2.5mm 不背膠,長±1.5寛±0.3厚±0.25 100PCS/400箱 全斷/藍色亮面膜,500,,,,,17762,35.524,67.02,2771,5.542,10.46,5970,11.94,22.53,,,,26503,53.006,2771,5970,
41017-0131801,PCS,TG4040 10*10*1.0mm 不背膠,長寬±0.2厚±0.10 2500PCS/65000箱 半斷/透明保護膜/透明膠帶封箱,100,,,,,100,1,18.21,143,1.43,26.05,306,3.06,55.74,,,,549,5.49,143,306,
41017-0134701,PCS,TG4040 14*14*1.8mm 不背膠,長寬±0.3厚±0.15 1000PCS/16000箱 半斷/格紋膜/1/2板全斷,820,,,,,410,0.5,54.09,110,0.1341,14.51,238,0.2902,31.4,,,,758,0.9243,110,238,
41017-0137601,PCS,TG4040 19*14*3.0mm 不背膠 沖型,長寬±0.3厚±0.25 200PCS/8000箱 半斷/透明保護膜/ZM-NM-MOD-C0128/量產模/15穴/可利用率391PCS,,,330.084,330.084,,801,2.4267,27.6,666,2.0177,22.95,1435,4.3474,49.45,,,,2902,8.7918,666,1435,
41017-0140601,PCS,TG4040 23*23*5.0mm 單背TT500,長寬±0.3厚±0.35 100PCS/2000箱 半斷/格紋膜/上膠後裁切,150,,,,,690,4.6,41.34,310,2.0667,18.57,669,4.46,40.08,,,,1669,11.1267,310,669,
41017-0141401,PCS,TG4040 25*25*1.5mm 不背膠,長寬±0.3厚±0.15 1000PCS/7000箱 半斷/格紋膜,1430,,,,,2666,1.8643,82.23,183,0.128,5.64,393,0.2748,12.12,,,,3242,2.2671,183,393,
41017-0142201,PCS,TG4040 27*13.5*4.0mm 不背膠,長寬±0.3厚±0.30 1000PCS/3000箱 半斷/透明保護膜,,,300.078,300.078,,766,2.5527,59.01,169,0.5632,13.02,363,1.2097,27.97,,,,1298,4.3256,169,363,
41017-0144401,PCS,TG4040 30*30*0.5mm 不背膠,長寬±0.3厚±0.05 1000PCS/15000箱 半斷/格紋膜/透明封箱膠帶,1520,,,,,2619,1.723,62.45,499,0.3283,11.9,1076,0.7079,25.66,,,,4194,2.7592,499,1076,
41017-0144801,PCS,TG6050 27*27*2.0mm 不背膠,長寬±0.3厚±0.20 500PCS/5000箱 半斷/透明保護膜,50,,,,,154,3.08,25.08,146,2.92,23.78,314,6.28,51.14,,,,614,12.28,146,314,
41017-0145001,PCS,TG4040 30*30*2.5mm 不背膠,長寬±0.3厚±0.25 500PCS/3000箱 半斷/格紋膜/透明封箱膠帶,1000,,,,,3564,3.564,71.48,451,0.451,9.05,971,0.971,19.47,,,,4986,4.986,451,971,
41017-0145601,PCS,TG4040 32*18*1.0mm 不背膠,長±0.4寬±0.3厚±0.10 1000PCS/12000箱 半斷/格紋膜/1/2板全斷,130,,,,,204,1.5692,29.44,155,1.1923,22.37,334,2.5692,48.2,,,,693,5.3307,155,334,
41017-0145901,PCS,TG4040 24*16*2.0mm 不背膠,長寬±0.3厚±0.20 1000PCS/8000箱 半斷/格紋膜,1000,,,,,1369,1.369,68.42,201,0.201,10.04,431,0.431,21.54,,,,2001,2.001,201,431,
41017-0148001,PCS,TG4040 38*20*2.5mm 不背膠,長±0.5寬±0.3厚±0.20 100PCS/3000箱 半斷/透明保護膜,300,,,,,961,3.2033,59.62,207,0.69,12.84,444,1.48,27.54,,,,1612,5.3733,207,444,
41017-0148201,PCS,TG4040 38*34*4.0mm 不背膠,長寬±0.4厚±0.30 500PCS/1000箱 半斷/透明保護膜,100,,,,,766,7.66,68.09,114,1.14,10.13,245,2.45,21.78,,,,1125,11.25,114,245,
41017-0151001,PCS,TG4040 50*25*5.5mm 不背膠,長±0.4寬±0.3厚±0.30 250PCS/1000箱 半斷/透明保護膜,131,,210.008,210.008,,3526,10.3399,84.92,199,0.5836,4.79,427,1.2522,10.28,,,,4152,12.1757,199,427,
41017-0156001,PCS,TG4040 15*15*5.0mm 不背膠,長寬±0.3厚±0.35 500PCS/6000箱 半斷/透明保護膜,1000,,,,,2023,2.023,76.98,192,0.192,7.31,413,0.413,15.72,,,,2628,2.628,192,413,
41017-0156601,PCS,TG4040 10*10*1.5mm 不背膠,長寬±0.2厚±0.15 1000PCS/45000箱 半斷/透明保護膜,1000,,,,,376,0.376,45.58,142,0.142,17.21,307,0.307,37.21,,,,825,0.825,142,307,
41017-0159001,PCS,TG4040F 80*42*0.5mm 不背膠,長±0.6寬±0.4厚±0.05 500PCS/3000箱 全斷,72,,,,,945,13.125,49.63,304,4.2222,15.97,655,9.0972,34.4,,,,1904,26.4444,304,655,
41017-0163501,PCS,TG4040 20*15*2.0mm 不背膠 沖型,長寬±0.3厚±0.20 52PCS/10000箱 膜斷/透明保護膜/Z4001-0081801/量產模/19穴,1104,,,,,1652,1.4964,42.41,711,0.644,18.25,1532,1.3877,39.33,,,,3895,3.5281,711,1532,
41017-0167301,PCS,TG4040 14*8*1.5mm 不背膠,長±0.3寬±0.2厚±0.15 1000PCS/40000箱 半斷/格紋膜,4416,,,,,1397,0.3163,51.13,423,0.0958,15.48,912,0.2065,33.38,,,,2732,0.6186,423,912,
41017-0167601,PCS,TG4040 8*8*1.5mm 不背膠,長寬±0.2厚±0.15 1000PCS/50000箱 半斷/透明保護膜,740,,,,,125,0.1689,33.42,79,0.1068,21.12,170,0.2297,45.45,,,,374,0.5054,79,170,
41017-0169201,PCS,TG4040 21.4*5*1.5mm 不背膠,長±0.3寬±0.2厚±0.20 1000PCS/20000箱 半斷/透明保護膜,27660,,,,,7887,0.2851,58.65,1752,0.0633,13.03,3809,0.1377,28.32,,,,13448,0.4861,1654,3567,
41017-0172701,PCS,TG4040 10*8*3.0mm 單背TT500,長寬±0.2厚±0.25 1000PCS/30000箱 半斷/格紋膜,1000,,,,,416,0.416,34.67,249,0.249,20.75,535,0.535,44.58,,,,1200,1.2,249,535,
41017-0175301,PCS,TG4040LC 20*8.2*0.5mm 不背膠,長±0.3寬±0.2厚±0.05 1000PCS/80000箱 半斷/藍色亮面膜,5850,,,,,1934,0.3306,65.92,317,0.0542,10.8,683,0.1168,23.28,,,,2934,0.5016,317,683,
41017-0176601,PCS,TG4040 15*15*3.0mm 不背膠,長寬±0.3厚±0.25 1000PCS/10000箱 半斷/格紋膜,3797,,,,,3836,1.0103,55.15,979,0.2578,14.07,2141,0.5639,30.78,,,,6956,1.832,885,1908,
41017-0179701,PCS,TG4040 40*29*3.0mm 單背3M8003,長±0.4寬±0.3厚±0.25 500PCS/2000箱 半斷/透明保護膜,780,,,,,4809,6.1654,51.87,1415,1.8141,15.26,3047,3.9064,32.87,,,,9271,11.8859,1415,3047,
41017-0181101,PCS,TG4040LC 19*8.5*1.0mm 不背膠,長±0.3寬±0.2厚±0.10 1000PCS/8000箱 半斷/藍色亮面膜,1180,,,,,424,0.3593,40.65,196,0.1661,18.79,423,0.3585,40.56,,,,1043,0.8839,196,423,
41017-0181201,PCS,TG4040 26*26*3.0mm 不背膠,長寬+0.3厚+0.30 500PCS/3000箱 半斷/格紋膜,1422,,1111.976,1111.976,,8885,3.5063,81.48,639,0.2522,5.86,1380,0.5446,12.66,,,,10904,4.3031,639,1380,
41017-0184101,PCS,TG4040 25*25*1.5mm 不背膠(THERMAL PAD T15),長寬±0.3厚±0.15 1000PCS/7000箱 膜斷/藍色保護膜/加拉拔5mm(25)/(出槌屋時，一袋包裝數量1000片，不可多給),2000,,2000.242,,,7261,1.8151,65.2,1138,0.569,10.22,2737,1.3685,24.58,,,,11136,3.7526,236,508,
41017-0184201,PCS,TG4040 55*30*0.5mm 不背膠(THERMAL PAD T05-A),長±0.5寬±0.3厚±0.05 1000PCS/8000箱 膜斷/藍色保護膜/加拉拔5mm(30)/出槌屋時，一袋包裝數量1000片，不可多給,4000,,1999.989,,,19725,3.2875,53.77,5184,1.296,14.13,11777,2.9443,32.1,,,,36686,7.5278,3256,7016,
41017-0185101,PCS,TG4040 20*17*0.5mm 不背膠 沖型(THERMAL PAD T05-H2),長寬±0.3厚±0.05 1000PCS/40000箱 全斷/TGA藍色保護膜/ZM-4-MOD-2331/1080304-01/量產模/16穴/裁224PCS,2000,,2000.217,,,3778,0.9444,37.37,2007,1.0035,19.85,4326,2.163,42.79,,,,10111,4.1109,2007,4326,
41017-0186801,PCS,TG4040 8*8*3.0mm 不背膠,長寬±0.2厚±0.25 1000PCS/30000箱 半斷/透明保護膜,8552,,,,,2201,0.2574,44.03,883,0.1033,17.66,1915,0.2239,38.31,,,,4999,0.5846,845,1822,
41017-0187901,PCS,TGX 35*35*1.0mm 不背膠,長寬±0.4厚±0.10 500PCS/5000箱 膜斷/透明保護膜,240,,,,,1122,4.675,48.87,372,1.55,16.2,802,3.3417,34.93,,,,2296,9.5667,372,802,
41017-0188601,PCS,TGX 12*10*1.0mm 不背膠,長±0.3寬±0.2厚±0.10 1000PCS/60000箱 膜斷/透明保護膜,240,,,,,320,1.3333,22.79,343,1.4292,24.43,741,3.0875,52.78,,,,1404,5.85,343,741,
41017-0190801,PCS,TGX 6*5*1.0mm 不背膠,長寬±0.2厚±0.10 1000PCS/200000箱 膜斷/透明保護膜,1220,,,,,160,0.1311,16.06,265,0.2172,26.61,571,0.468,57.33,,,,996,0.8163,265,571,
41017-0192301,PCS,TG4040 10*10*5.0mm 不背膠,長寬±0.2厚±0.35 1000PCS/4000箱 半斷/格紋膜,1500,,,,,1018,0.6787,74.85,109,0.0727,8.01,233,0.1553,17.13,,,,1360,0.9067,109,233,
41017-0193201,PCS,TG4040 11*9*2.0mm 單背3M8003,長±0.3寬±0.2厚±0.20 1000PCS/35000箱 半斷/藍色保護膜,570,,,,,310,0.5439,14.76,567,0.9947,27,1223,2.1456,58.24,,,,2100,3.6842,567,1223,
41017-0193701,PCS,TG6050 26.5*19*0.5mm 不背膠,長寬±0.3厚±0.05 1000PCS/20000箱 半斷/條狀/透明保護膜,50,,,,,78,1.56,15.98,130,2.6,26.64,280,5.6,57.38,,,,488,9.76,130,280,
41017-0193901,PCS,TG4040 40*25*4.0mm 不背膠(ネツゴム-A),長±0.4寬±0.3厚±0.30 150PCS/1500箱 膜斷/藍色保護膜/加拉拔5mm(25),2150,,1999.977,,,21946,5.2882,72.75,2606,1.2121,8.64,5614,2.6112,18.61,,,,30166,9.1115,2606,5614,
41017-0194601,PCS,TG4040 32*16*5.0mm 不背膠,長±0.4寬±0.3厚±0.35 250PCS/2500箱 半斷/條狀/格紋膜,780,,,,,2711,3.4756,70.31,363,0.4654,9.41,782,1.0026,20.28,,,,3856,4.9436,363,782,
41017-0194701,PCS,TG4040 16*16*4.0mm 不背膠,長寬±0.3厚±0.30 600PCS/6000箱 半斷/條狀/格紋膜,600,,,,,1027,1.7117,48.51,345,0.575,16.3,745,1.2417,35.19,,,,2117,3.5284,345,745,
41017-0194801,PCS,TG4040 33*28*7.0mm 不背膠,長±0.4寬±0.3厚±0.40 100PCS/600箱 半斷/條狀/透明保護膜,600,,,,,4930,8.2167,56.72,1193,1.9883,13.73,2569,4.2817,29.56,,,,8692,14.4867,1193,2569,
41017-0198601,PCS,TG4040 10*5*2.5mm 不背膠,長寬±0.2厚±0.25 5000PCS/55000箱 半斷/透明保護膜/每袋放紙板,4130,,,,,961,0.2327,47.72,334,0.0809,16.58,719,0.1741,35.7,,,,2014,0.4877,334,719,
41017-0198801,PCS,TG4040 16*12*8.5mm 不背膠,長寬±0.3厚±0.40 900PCS/3600箱 半斷/格紋膜,2500,,,,,4989,1.9956,74.27,548,0.2192,8.16,1180,0.472,17.57,,,,6717,2.6868,548,1180,
41017-0198901,PCS,TG4040 28*28*3.5mm 不背膠,長寬±0.3厚±0.25 500PCS/2000箱 半斷/格紋膜,3030,,,,,12732,4.202,77.88,1147,0.3785,7.02,2470,0.8152,15.11,,,,16349,5.3957,1147,2470,
41017-0199001,PCS,TG4040 28*25*7.5mm 不背膠,長寬±0.3厚±0.40 250PCS/1000箱 半斷/格紋膜,2780,,,,,17346,6.2396,81.62,1238,0.4453,5.83,2667,0.9594,12.55,,,,21251,7.6443,1238,2667,
41017-0203101,PCS,TG4040F 79*74*1.0mm 不背膠,長寬±0.6厚±0.10 100PCS/1200箱 全斷,,,65.022,65.022,,1860,28.6057,69.07,264,4.0602,9.8,569,8.7509,21.13,,,,2693,41.4168,264,569,
41017-0203201,PCS,TG4040F 32*16*1.0mm 不背膠,長±0.4寬±0.3厚±0.10 1000PCS/14000箱 半斷,300,,,,,620,2.0667,67.69,94,0.3133,10.26,202,0.6733,22.05,,,,916,3.0533,94,202,
41017-0206601,PCS,TG4040F 48*22*1.5mm 不背膠,長±0.4寛±0.3厚±0.15 1000PCS/3000箱 半斷,4000,,,,,17396,4.349,73.56,1982,0.4955,8.38,4270,1.0675,18.06,,,,23648,5.912,1982,4270,
41017-0208501,PCS,TG4040F 57.81*54.76*0.5mm 不背膠 沖型,長寬±0.5厚±0.05 800PCS/4000箱 全斷/ZM-YD-MOD-COO36/10穴/裁25PCS/軟硬度下限,1250,,,,,13770,11.016,65.72,2276,1.8208,10.86,4906,3.9248,23.42,,,,20952,16.7616,2276,4906,
41017-0212201,PCS,TG4040LC 45*29.5*1.0mm 不背膠,長±0.4寬±0.3厚±0.10 500PCS/5000箱 半斷/藍色亮面膜,210,,,,,745,3.5476,41.78,313,1.4905,17.55,725,3.4524,40.66,,,,1783,8.4905,145,311,
41017-0212601,PCS,TG4040LC 27*27*1.5mm 不背膠,長寬±0.3厚±0.15 1000PCS/6000箱 半斷/藍色亮面膜,200,,,,,673,3.365,68.95,96,0.48,9.84,207,1.035,21.21,,,,976,4.88,96,207,
41017-0213401,PCS,TG4040LC 58*23*1.0mm 單背W203,長+0/-1.5寬±0.3厚±0.10 1000PCS/5000箱 半斷/藍色亮面膜/長度實際裁切用57.2±0.7,618,,440.05,440.05,,4260,4.0263,28.87,3328,3.1454,22.55,7170,6.7766,48.58,,,,14758,13.9483,3328,7170,
41017-0215801,PCS,TG4040LC 15*10*2.5mm 單背W203(矽膠面),長±0.3寬±0.2厚±0.25 1000PCS/10000箱 半斷/藍色亮面膜,,,1398.62,1398.62,,1169,0.8358,42.43,503,0.3596,18.26,1083,0.7743,39.31,,,,2755,1.9697,503,1083,
41017-0216701,PCS,TG4040LC 420*7.5*1.0mm 不背膠,長±1.5寬±0.2厚±0.10 500PCS/3000箱 半斷/藍色亮面膜,118,,,,,1424,12.0678,61.65,281,2.3814,12.16,605,5.1271,26.19,,,,2310,19.5763,281,605,
41017-0216901,PCS,TG4040LC 143*10*0.5mm 不背膠,長±0.8寬±0.2厚±0.05 1000PCS/9000箱 半斷/藍色亮面膜,608,,,,,3177,5.2253,69.9,434,0.7138,9.55,934,1.5362,20.55,,,,4545,7.4753,434,934,
41017-0218401,PCS,TG4040LC 13*10*0.5mm 不背膠,長±0.3寬±0.2厚±0.05 1000PCS/110000箱 半斷/藍色亮面膜,5000,,,,,1284,0.2568,32.66,839,0.1678,21.34,1809,0.3618,46.01,,,,3932,0.7864,839,1809,
41017-0218501,PCS,TG4040LC 13*10*1.5mm 不背膠,長±0.3寬±0.2厚±0.15 1000PCS/30000箱 半斷/藍色亮面膜,5000,,,,,2517,0.5034,60.09,530,0.106,12.65,1142,0.2284,27.26,,,,4189,0.8378,530,1142,
41017-0220601,PCS,TG4040LC 25*7*0.5mm 不背膠,長±0.3寬±0.2厚±0.05 7000PCS/70000箱 半斷/藍色亮面膜,700,,,,,284,0.4057,32.79,185,0.2643,21.36,397,0.5671,45.84,,,,866,1.2371,185,397,
41017-0221101,PCS,TG4040LC 58*39*3.0mm 不背膠 沖型(LC膜面),長±0.5寬±0.4厚±0.25 100PCS/900箱 半斷/藍色亮面膜/Z4001-0045701/4MOD-2551/1090204-01/量產模/14穴,480,,,,,7023,14.6313,71.35,894,1.8625,9.08,1926,4.0125,19.57,,,,9843,20.5063,894,1926,
41017-0222801,PCS,TG6050 6*6*5.0mm 不背膠,長寬±0.2厚±0.35 1000PCS/40000箱 半斷/透明保護膜,1191,,,,,379,0.3182,48.53,128,0.1075,16.39,274,0.2301,35.08,,,,781,0.6558,128,274,
41017-0227801,PCS,TG6050 17*11*2.0mm 不背膠,長寬±0.3厚±0.20 1000PCS/10000箱 半斷/格紋膜,3000,,999.08,999.08,,2484,0.6211,67.94,370,0.0925,10.12,802,0.2005,21.94,,,,3656,0.9141,349,749,
41017-0229101,PCS,TG4040 25*16.5*4.0mm 不背膠,長寬±0.3厚±0.30 1000PCS/4000箱 半斷/透明保護膜,1610,,,,,3318,2.0609,72.51,399,0.2478,8.72,859,0.5335,18.77,,,,4576,2.8422,399,859,
41017-0229401,PCS,TG6050 16*16*1.0mm 不背膠,長寬±0.3厚±0.10 1000PCS/25000箱 半斷/透明保護膜,640,,,,,405,0.6328,44.8,158,0.2469,17.48,341,0.5328,37.72,,,,904,1.4125,158,341,
