指定生產線,訂單號,客戶簡碼,款號型体,款號名稱,颜色,款号代码,订单号,下單日期,客戶要求交期,訂單數量,加產數量,總數量,排程时间,"预计出成品
日期",已出口的数量,"未出口
数量"
,VS2507006,WIP,WIP020K15A0,BLACK黑色,PRESCOTT 單肩包,I036281,20250709-2,2025/7/8,2025/8/14,7,0,7,2025/7/10,PP样+产前样,7,0
,VS2507006,WIP,WIP020B18O0,OXIDE GREEN 氧化綠色,PRESCOTT背包,I036282,20250709-2,2025/7/8,2025/8/14,7,0,7,2025/7/10,PP样+产前样,7,0
,VS2507006,WIP,WIP020B18A0,BLACK黑色,PRESCOTT 背包,I036282,20250709-2,2025/7/8,2025/8/14,7,0,7,2025/7/10,PP样+产前样,7,0
,VS2507006,WIP,WIP020K06O0,OXIDE GREEN氧化綠色,PRESCOT肩袋,I036283,20250709-2,2025/7/8,2025/8/14,7,0,7,2025/7/10,PP样+产前样,7,0
,VS2507006,WIP,WIP020K06A0,BLACK黑色,PRESCOTT 肩袋,I036283,20250709-2,2025/7/8,2025/8/14,7,0,7,2025/7/10,PP样+产前样,7,0
,VS2507006,WIP,WIP020K16O0,OXIDE GREEN 氧化綠色,PRESCOTT 手提袋,I036288,20250709-2,2025/7/8,2025/8/14,7,0,7,2025/7/10,PP样+产前样,7,0
,VS2507006,WIP,WIP020K16A0,BLACK黑色,PRESCOTT手提袋,I036288,20250709-2,2025/7/8,2025/8/14,7,0,7,2025/7/10,PP样+产前样,7,0
,VS2507006,WIP,WIP020K05O0,OXIDE GREEN氧化綠色,PRESCOTT錢包,I036289,20250709-2,2025/7/8,2025/8/14,7,0,7,2025/7/10,PP样+产前样,7,0
,VS2507006,WIP,WIP020K05A0,BLACK黑色,PRESCOTT钱包,I036289,20250709-2,2025/7/8,2025/8/14,7,0,7,2025/7/10,PP样+产前样,7,0
,VS2507007,WIP,WIP020K15O0,OXIDE GREEN氧化綠色,PRESCOTT 单肩包,I036281,20250709-3,2025/7/8,2025/10/1,5,0,5,2025/7/10,2025/9/16,5,0
,VS2507007,WIP,WIP020K15A0,BLACK黑色,PRESCOTT 單肩包,I036281,20250709-3,2025/7/8,2025/10/1,5,0,5,2025/7/10,2025/9/16,5,0
,VS2507007,WIP,WIP020B18O0,OXIDE GREEN 氧化綠色,PRESCOTT背包,I036282,20250709-3,2025/7/8,2025/10/1,5,0,5,2025/7/10,2025/9/16,5,0
,VS2507007,WIP,WIP020B18A0,BLACK黑色,PRESCOTT 背包,I036282,20250709-3,2025/7/8,2025/10/1,5,0,5,2025/7/10,2025/9/16,5,0
,VS2507007,WIP,WIP020K06O0,OXIDE GREEN氧化綠色,PRESCOT肩袋,I036283,20250709-3,2025/7/8,2025/10/1,5,0,5,2025/7/10,2025/10/4,5,0
,VS2507007,WIP,WIP020K06A0,BLACK黑色,PRESCOTT 肩袋,I036283,20250709-3,2025/7/8,2025/10/1,5,0,5,2025/7/10,2025/10/4,5,0
,VS2507007,WIP,WIP020K16O0,OXIDE GREEN 氧化綠色,PRESCOTT 手提袋,I036288,20250709-3,2025/7/8,2025/10/1,5,0,5,2025/7/10,2025/9/16,5,0
,VS2507007,WIP,WIP020K16A0,BLACK黑色,PRESCOTT手提袋,I036288,20250709-3,2025/7/8,2025/10/1,5,0,5,2025/7/10,2025/9/16,5,0
,VS2507007,WIP,WIP020K05O0,OXIDE GREEN氧化綠色,PRESCOTT錢包,I036289,20250709-3,2025/7/8,2025/10/1,5,0,5,2025/7/10,2025/10/4,5,0
,VS2507007,WIP,WIP020K05A0,BLACK黑色,PRESCOTT钱包,I036289,20250709-3,2025/7/8,2025/10/1,5,0,5,2025/7/10,2025/10/4,5,0
,VS2507008,CAU,CIC015C39Z2,Z2/岩石黑18-0201TPG,COSTCO 2025 40罐塑料蓋子折疊冰袋,10006081,Buyer sample,2025/7/8,2025/7/15,1,0,1,2025/7/10,2025/7/12,1,0
,VS2507008,CAU,CIC015C39Z3,Z3/藻綠色19-0220TPG,COSTCO 2025 40罐塑料蓋子折疊冰袋,10006081,Buyer sample,2025/7/8,2025/7/15,1,0,1,2025/7/10,2025/7/12,1,0
,VS2507009,SPG,SPG150D11T0,Carhartt Brown CSI 暗褐棕,55L 旅行袋,B000042120199,28389,2025/7/9,2025/8/24,46,9,55,2025/7/10,2025/8/20,55,0
,VS2507009,SPG,SPG150D11A0,BLACK 黑色,55L 旅行袋,B000042100199,28389,2025/7/9,2025/8/24,8,3,11,2025/7/10,2025/8/20,11,0
,VS2507010,CAU,CIS018C26Z14,Z14/深海軍網格印花,"SAM'S 26""大購物袋",10005950,SL007101,2025/7/10,2025/9/16,2940,9,2949,2025/7/14,2025/9/4,2949,0
,VS2507010,CAU,CIS018C26Z15,Z15/線條灰印花,"SAM'S 26""大購物袋",10005950,SL007101,2025/7/10,2025/9/16,2940,9,2949,2025/7/14,2025/9/4,2949,0
,VS2507011,WIP,WIP020K15O0,OXIDE GREEN氧化綠色,PRESCOTT 单肩包,I036281,25TRHK02723-32,2025/7/10,2025/10/1,273,0,273,2025/7/14,2025/9/20,273,0
,VS2507011,WIP,WIP020K15A0,BLACK黑色,PRESCOTT 單肩包,I036281,25TRHK02723-32,2025/7/10,2025/10/1,693,0,693,2025/7/14,2025/9/20,693,0
,VS2507011,WIP,WIP020B18O0,OXIDE GREEN 氧化綠色,PRESCOTT背包,I036282,25TRHK02723-32,2025/7/10,2025/10/1,354,0,354,2025/7/14,2025/9/20,354,0
,VS2507011,WIP,WIP020B18A0,BLACK黑色,PRESCOTT 背包,I036282,25TRHK02723-32,2025/7/10,2025/10/1,709,0,709,2025/7/14,2025/9/20,709,0
,VS2507011,WIP,WIP020K06O0,OXIDE GREEN氧化綠色,PRESCOT肩袋,I036283,25TRHK02723-32,2025/7/10,2025/10/1,643,0,643,2025/7/14,2025/10/6,643,0
,VS2507011,WIP,WIP020K06A0,BLACK黑色,2507012/,I036283,25TRHK02723-32,2025/7/10,2025/10/1,882,0,882,2025/7/14,2025/10/6,882,0
,VS2507011,WIP,WIP020K16O0,OXIDE GREEN 氧化綠色,PRESCOTT 手提袋,I036288,25TRHK02723-32,2025/7/10,2025/10/1,304,0,304,2025/7/14,2025/9/20,304,0
,VS2507011,WIP,WIP020K16A0,BLACK黑色,PRESCOTT手提袋,I036288,25TRHK02723-32,2025/7/10,2025/10/1,679,0,679,2025/7/14,2025/9/20,679,0
,VS2507011,WIP,WIP020K05O0,OXIDE GREEN氧化綠色,PRESCOTT錢包,I036289,25TRHK02723-32,2025/7/10,2025/10/1,352,0,352,2025/7/14,2025/10/3,352,0
,VS2507011,WIP,WIP020K05A0,BLACK黑色,PRESCOTT钱包,I036289,25TRHK02723-32,2025/7/10,2025/10/1,486,0,486,2025/7/14,2025/10/3,486,0
,VS2507012,WIP,WIP010K16T0,HAMILTON BROWN 漢密爾顿棕色,兩用冰袋,I034760,20250712-1,2025/7/11,2025/11/23,2400,2,2402,2025/7/14,2025/10/6,2402,0
,VS2507013,WIP,WIP010K16T0,HAMILTON BROWN 漢密爾顿棕色,兩用冰袋,I034760,20250712-2,2025/7/11,2025/10/15,7,0,7,2025/7/14,VBF,7,0
,VS2507014,WIP,WIP010K16T0,HAMILTON BROWN 漢密爾顿棕色,兩用冰袋,I034760,20250712-3,2025/7/11,2025/11/23,10,0,10,2025/7/14,2025/10/6,10,0
,VS2507015,CAU,CIS045C50Z2,Z2/深灰19-0203TPG,SAM'S 2026 50罐拉桿折疊冰袋 5062SU RB,5062SU RB,BLK_SL007015,2025/7/13,2025/10/22,16901,0,16901,2025/7/18,2025/10/22,11966,4935
,VS2507015,CAU,CIS045C50Z3,Z3/藻綠18-0312TPG,SAM'S 2026 50罐拉桿折疊冰袋 5062SU RB,5062SU RB,BLK_SL007015,2025/7/13,2025/10/22,12679,0,12679,2025/7/18,2025/10/22,8976,3703
,VS2507016,CAU,CIS045C50Z2,Z2/深灰19-0203TPG,SAM'S 2026 50罐拉桿折疊冰袋 5062SU RB,5062SU RB,BLK_SL007015,2025/7/13,2025/10/22,1750,0,1750,2025/7/18,2025/10/22,1750,0
,VS2507016,CAU,CIS045C50Z3,Z3/藻綠18-0312TPG,SAM'S 2026 50罐拉桿折疊冰袋 5062SU RB,5062SU RB,BLK_SL007015,2025/7/13,2025/10/22,1330,0,1330,2025/7/18,2025/10/22,1330,0
,VS2507017,SPG,SPG210K05T0,棕色 CARHARTT BROWN,手提包C0（常規）,B000055521199,28401,2025/7/14,2025/10/3,2016,0,2016,2025/7/18,2025/9/13,2016,0
,VS2507017,SPG,SPG210K161A0,黑色BLACK,汽車雜物袋C0（常規）,B000055600199,28401,2025/7/14,2025/10/3,2004,0,2004,2025/7/18,2025/10/10,2004,0
,VS2507017,SPG,SPG210K05A0,黑色BLACK,手提包C0（常規）,B000055500199,28401,2025/7/14,2025/10/3,2016,0,2016,2025/7/18,2025/9/15,2016,0
,VS2507017,SPG,SPG210K141T0,棕色 CARHARTT BROWN,中號工具袋C0（常規）,B000052221199,28401,2025/7/14,2025/10/3,2004,0,2004,2025/7/18,2025/10/10,2004,0
,VS2507017,SPG,SPG210K5A0,黑色BLACK,女士生活用品袋C0（常規）,B000051200199,28401,2025/7/14,2025/10/3,2040,0,2040,2025/7/18,2025/10/15,2040,0
,VS2507017,SPG,SPG210K11A0,黑色,"25""多功能旅行袋C0（常規）",B000049900199,28401,2025/7/14,2025/10/3,2008,0,2008,2025/7/18,2025/10/6,2008,0
,VS2507018,SPG,SPG210K141T0,棕色 CARHARTT BROWN,中號工具袋C0（常規）,B000052221199,28401,2025/7/14,2025/9/19,6,0,6,2025/7/18,PP样+产前样,6,0
,VS2507019,WIP,WIP050D20A0,黑色,RICHMOND小號旅行袋,I037004,SHK0004489/82/86,2025/7/14,2025/9/23,4,0,4,2025/7/18,PP样+产前样,4,0
,VS2507019,WIP,WIP050K05P0,PALISANDER 紅木色,RICHMOND 錢包(小圓角）,I036996,SHK0004489/82/86,2025/7/14,2025/9/23,4,0,4,2025/7/18,PP样+产前样,4,0
,VS2507019,WIP,WIP050D27P0,PALISANDER 紅木色,RICHMOND 大號旅行袋,I037001,SHK0004489/82/86,2025/7/14,2025/9/23,4,0,4,2025/7/18,PP样+产前样,4,0
,VS2507020,WIP,WIP050D20A0,黑色,RICHMOND小號旅行袋,I037004,SMSTR004894/87/91,2025/7/14,2025/9/23,32,7,39,2025/7/18,PP样+订单样,39,0
,VS2507020,WIP,WIP050K05P0,PALISANDER 紅木色,RICHMOND 錢包(小圓角）,I036996,SMSTR004894/87/91,2025/7/14,2025/9/23,32,7,39,2025/7/18,PP样+订单样,39,0
,VS2507020,WIP,WIP050D27P0,PALISANDER 紅木色,RICHMOND 大號旅行袋,I037001,SMSTR004894/87/91,2025/7/14,2025/9/23,32,7,39,2025/7/18,PP样+订单样,39,0
,VS2507021,CAU,CIW211C13B0,B0/霧藍色,24罐無拉鏈冰袋,10005502,BLK_SL006233C,2025/7/15,2025/9/4,30000,8,30008,2025/7/18,2025/9/3,28356,1652
,VS2507022,SPG,SPG200K12T0,棕色CARHARTT BROWN,可收纳旅行袋,B000056421199,28410,2025/7/16,2025/11/12,2718,0,2718,2025/7/18,2025/10/20,2718,0
,VS2507022,SPG,SPG200K12A0,黑色BLACK,可收納旅行袋,B000056400199,28410,2025/7/16,2025/11/12,4176,0,4176,2025/7/18,2025/10/23,4176,0
,VS2507023,SPG,SPG200K151N0,深藍色NAVY,高級午餐冰袋（LEEDS）,B000057140199,28411,2025/7/16,2025/11/12,2052,0,2052,2025/7/18,2025/10/18,2052,0
,VS2507023,SPG,SPG200K151T0, 棕色(CARHARTT BROWN),高級午餐冰袋（LEEDS）,B000057121199,28411,2025/7/16,2025/11/12,2052,0,2052,2025/7/18,2025/10/21,2052,0
,VS2507023,SPG,SPG200K151G0,灰色GRAVEL,高級午餐冰袋（LEEDS),B000057103999,28411,2025/7/16,2025/11/12,3096,0,3096,2025/7/18,2025/10/23,3096,0
,VS2507023,SPG,SPG200K151A0,黑色 BLACK,高級午餐冰袋（LEEDS）,B000057100199,28411,2025/7/16,2025/11/12,2016,0,2016,2025/7/18,2025/10/25,2016,0
,VS2507024,CAU,CIB015C15B1,B1/寶藍7686C,BJ'S 2026 16罐無拉鏈冰袋,10006278,BLK_SL007118,2025/7/16,2025/10/9,29391,0,29391,2025/7/18,2025/9/20,23328,6063
,VS2507025,TLP,TLP120B18.5A0,BLACK / 黑配黑,"18.5""大號電腦背包",430245801,OB#13337,2025/7/17,2025/11/19,600,1,601,2025/7/18,2025/9/18,601,0
,VS2507026,TLP,TLP050T23A0,BLACK/黑色,"23""兩輪登機箱（伸縮）",3632-01,OB#13338,2025/7/17,2025/10/19,1500,1,1501,2025/7/18,2025/9/18,1501,0
,VS2507026,TLP,TLP050T15A0,BLAKC/黑色,"15""兩輪拉桿電腦袋",3613-01,OB#13338,2025/7/17,2025/10/19,1000,1,1001,2025/7/18,2025/9/30,1001,0
,VS2507026,TLP,TLP050T21A0,BLACK/黑色,"21""兩輪拉杆箱",3621-01,OB#13338,2025/7/17,2025/10/19,1000,1,1001,2025/7/18,2025/9/27,1001,0
,VS2507026,TLP,TLP050K14A0,BLACK/黑色,"14""冰袋",3605-01,OB#13338,2025/7/17,2025/10/24,2000,1,2001,2025/7/18,2025/9/23,2001,0
,VS2507026,TLP,TLP050K20A0,BLACK/黑色,"20""手提袋",3608-01,OB#13338,2025/7/17,2025/10/24,500,1,501,2025/7/18,2025/10/16,501,0
,VS2507026,TLP,TLP050K20A0,BLACK/黑色,"20""手提袋",3608-01,OB#13338,2025/7/17,2025/11/4,500,0,500,2025/7/18,2025/10/22,500,0
,VS2507026,TLP,TLP050K14A0,BLACK/黑色,"14""冰袋",3605-01,OB#13338,2025/7/17,2025/11/9,2000,0,2000,2025/7/18,2025/10/6,2000,0
,VS2507026,TLP,TLP050T23A0,BLACK/黑色,"23""兩輪登機箱（伸縮）",3632-01,OB#13338,2025/7/17,2025/11/19,1400,0,1400,2025/7/18,2025/10/15,1400,0
,VS2507026,TLP,TLP050T15A0,BLAKC/黑色,"15""兩輪拉桿電腦袋",3613-01,OB#13338,2025/7/17,2025/11/19,1000,0,1000,2025/7/18,2025/10/27,1000,0
,VS2507026,TLP,TLP050T24A0,BLACK/黑色,"24""兩輪登機箱（伸縮）",3624-01,OB#13338,2025/7/17,2025/11/19,500,1,501,2025/7/18,2025/10/9,501,0
,VS2507026,TLP,TLP050T23A0,BLACK/黑色,"23""兩輪登機箱（伸縮）",3632-01,OB#13338,2025/7/17,2025/12/4,1500,0,1500,2025/7/18,2025/10/27,1500,0
,VS2507026,TLP,TLP050T15A0,BLAKC/黑色,"15""兩輪拉桿電腦袋",3613-01,OB#13338,2025/7/17,2025/12/4,500,0,500,2025/7/18,2025/11/6,500,0
,VS2507026,TLP,TLP050T16A0,BLAKC/黑色,"16""兩輪拉桿電腦袋",3616-01,OB#13338,2025/7/17,2025/12/4,500,1,501,2025/7/18,2025/11/11,501,0
,VS2507026,TLP,TLP050T18A0,BLAKC/黑色,"18""兩輪拉桿杆箱（伸縮）",3618-01,OB#13338,2025/7/17,2025/12/4,500,1,501,2025/7/18,2025/11/10,501,0
,VS2507027,CAU,CIS022C01Z03,Z03/墨綠+粉紅,"SAM'S 26""大購物袋 2026 H1",2173SUP18001,BLK_SL007119,2025/7/22,2025/11/21,65036,0,65036,2025/7/25,2025/9/8,65036,0
,VS2507027,CAU,CIS022C01Z05,Z05/紅色+淡橙色,"SAM'S 26""大購物袋 2026 H1",2173SUP18001,BLK_SL007119,2025/7/22,2025/11/21,54200,0,54200,2025/7/25,2025/9/8,54200,0
,VS2507027,CAU,CIS022C01Z09,Z09/米白+藍色,"SAM'S 26""大購物袋 2026 H1",2173SUP18001,BLK_SL007119,2025/7/22,2025/11/21,65036,0,65036,2025/7/25,2025/9/8,65036,0
,VS2507027,CAU,CIS022C02Z01,Z01/米白+紅白間色肩帶,"SAM'S 26""大購物袋 2026 H1",2173SUP18001,BLK_SL007119,2025/7/22,2025/11/21,68648,0,68648,2025/7/25,2025/9/8,68648,0
,VS2507028,SPG,SPG210K05T0,棕色 CARHARTT BROWN,手提包C0（常規）,B000055521199,28456,2025/7/24,2025/10/14,2016,0,2016,2025/7/25,2025/10/16,2016,0
,VS2507028,SPG,SPG210K05A0,黑色BLACK,手提包C0（常規）,B000055500199,28456,2025/7/24,2025/10/14,2016,0,2016,2025/7/25,2025/10/18,2016,0
,VS2507029,VIC,VIC340B19A0,黑色,19寸登機背包,653650,311606,2025/7/24,2025/11/4,500,0,500,2025/7/25,2025/10/21,500,0
,VS2507029,VIC,VIC340B19B0,藏藍,19寸登機背包,653651,311606,2025/7/24,2025/11/4,500,0,500,2025/7/25,2025/10/25,500,0
,VS2507029,VIC,VIC340D13A0,黑色,12寸旅行袋版本2,653652,311606,2025/7/24,2025/11/4,500,0,500,2025/7/25,2025/10/20,500,0
,VS2507029,VIC,VIC340D13B0,藏藍, 12寸旅行袋版本2,653653,311606,2025/7/24,2025/11/4,500,0,500,2025/7/25,2025/10/23,500,0
,VS2507030,VIC,VIC340B19A0,黑色,19寸登機背包,653650,311606,2025/7/25,2025/11/4,1,0,1,2025/7/25,2025/10/21,1,0
,VS2507030,VIC,VIC340D13B0,藏藍, 12寸旅行袋版本2,653653,311606,2025/7/25,2025/11/4,1,0,1,2025/7/25,2025/10/20,1,0
,VS2507031,CAU,CIS021C01Z03,Z03/CSI 205684-藏藍,"SAM'S 26""大購物袋-經典版 4087SU RC",2173SUP18001,BLK_SL006236H,2025/7/30,2025/9/20,26880,0,26880,2025/8/1,2025/9/12,26880,0
,VS2507031,CAU,CIS021C01Z04,Z04/CSI 2032726-淡紅,"SAM'S 26""大購物袋-經典版 4087SU RC",2173SUP18001,BLK_SL006236H,2025/7/30,2025/9/20,24192,0,24192,2025/8/1,2025/9/12,24192,0
,VS2507031,CAU,CIS021C01Z07,Z07/米白+深綠,"SAM'S 26""大購物袋-經典版 4087SU RC",2173SUP18001,BLK_SL006236H,2025/7/30,2025/9/20,21504,0,21504,2025/8/1,2025/9/12,21504,0
,VS2507031,CAU,CIS021C01Z09,Z09/米白+酒紅,"SAM'S 26""大購物袋-經典版 4087SU RC",2173SUP18001,BLK_SL006236H,2025/7/30,2025/9/20,21504,0,21504,2025/8/1,2025/9/12,21504,0
,VS2507032,5HO,WLV191K100A0,黑色BLACK,ASI斜挎午餐袋C0,WVB3100-001,5685,2025/7/31,2025/10/25,912,0,912,2025/8/1,WF,912,0
,VS2507032,5HO,WLV191K100CN0,栗色CHESTNUT,ASI斜挎午餐袋C0,WVB3100-223,5685,2025/7/31,2025/10/25,912,0,912,2025/8/1,WF,912,0
,VS2507033,5HO,WLV191K100A0,黑色BLACK,ASI斜挎午餐袋C0,WVB3100-001,5686,2025/7/31,2025/10/25,432,0,432,2025/8/1,WF,432,0
,VS2507033,5HO,WLV191K100CN0,栗色CHESTNUT,ASI斜挎午餐袋C0,WVB3100-223,5686,2025/7/31,2025/10/25,432,0,432,2025/8/1,WF,432,0
,VS2508001,SPG,SPG200K30T0, 棕色CARHARTT BROWN,SANMAR 30寸裝備袋,B000056621199,28547,2025/8/5,2025/11/4,2000,0,2000,2025/8/7,2025/10/17,2000,0
,VS2508001,SPG,SPG200K30A0,SANMAR 30寸裝備袋 黑色(BLACK),SANMAR 30寸裝備袋,B000056600199,28547,2025/8/5,2025/11/4,2000,0,2000,2025/8/7,2025/10/24,2000,0
,VS2508002,SPG,SPG200K14A0,黑色BLACK,14寸工具袋,B000057500199,25548,2025/8/5,2025/11/4,2004,0,2004,2025/8/7,2025/10/24,2004,0
,VS2508002,SPG,SPG200K14T0,棕色 CARHARTT BROWN,14寸工具袋,B000057521199,25548,2025/8/5,2025/11/4,2004,0,2004,2025/8/7,2025/10/29,2004,0
,VS2508003,SPG,SPG200K16A0, 黑色 BLACK,冰袋背包(sanmar),B000056800199,28549,2025/8/5,2025/11/4,2016,0,2016,2025/8/7,2025/10/11,2016,0
,VS2508003,SPG,SPG200K16T0,棕色CARHARTT BROWN,冰袋背包（SANMAR),B000056821199,28549,2025/8/5,2025/11/4,2016,0,2016,2025/8/7,2025/10/17,2016,0
,VS2508004,SPG,SPG200K12T0,棕色CARHARTT BROWN,可收纳旅行袋,B000056421199,28550,2025/8/5,2025/11/4,2016,0,2016,2025/8/7,2025/9/27,2016,0
,VS2508004,SPG,SPG200K12A0,黑色BLACK,可收納旅行袋,B000056400199,28550,2025/8/5,2025/11/4,2016,0,2016,2025/8/7,2025/10/1,2016,0
,VS2508005,SPG,SPG200K151A0,黑色 BLACK,高級午餐冰袋（LEEDS）,B000057100199,28551,2025/8/5,2025/11/4,2016,0,2016,2025/8/7,2025/10/3,2016,0
,VS2508005,SPG,SPG200K151G0,灰色GRAVEL,高級午餐冰袋（LEEDS),B000057103999,28551,2025/8/5,2025/11/4,2016,0,2016,2025/8/7,2025/10/6,2016,0
,VS2508005,SPG,SPG200K151T0, 棕色(CARHARTT BROWN),高級午餐冰袋（LEEDS）,B000057121199,28551,2025/8/5,2025/11/4,2016,0,2016,2025/8/7,2025/10/8,2016,0
,VS2508006,WIP,WIP010K16T0,HAMILTON BROWN 漢密爾顿棕色,兩用冰袋,I034760,25TR005131,2025/8/5,2025/11/23,150,0,150,2025/8/7,WF,150,0
,VS2508007,CAU,CIW211C12B1,B1/海藍色19-4042TPG,12罐無拉鏈冰袋,10005501,BLK_SL006241A,2025/8/7,2025/9/29,30000,12,30012,2025/8/7,2025/9/20,30012,0
,VS2508008,SAM,SAM220K12W0,白色OFF-WHITE,"17.71""旅行袋(Weekender)",149197-1627,NA01358667,2025/8/12,2025/11/10,350,1,351,2025/8/19,2025/10/8,351,0
,VS2508009,SAM,SAM220K12W0,白色OFF-WHITE,"17.71""旅行袋(Weekender)",149197-1627,NA01358667,2025/8/12,2025/11/28,150,0,150,2025/8/14,2025/10/10,150,0
,VS2508010,SPG,SPG210K05T0,棕色 CARHARTT BROWN,手提包C0（常規）,B000055521199,28563,2025/8/13,2025/11/5,2016,0,2016,2025/8/14,2025/10/24,2016,0
,VS2508010,SPG,SPG200K151T0, 棕色(CARHARTT BROWN),高級午餐冰袋（LEEDS）,B000057121199,28563,2025/8/13,2025/11/5,1008,0,1008,2025/8/14,2025/11/4,1008,0
,VS2508010,SPG,SPG200K151G0,灰色GRAVEL,高級午餐冰袋（LEEDS),B000057103999,28563,2025/8/13,2025/11/5,1008,0,1008,2025/8/14,2025/11/5,1008,0
,VS2508010,SPG,SPG200K151A0,黑色 BLACK,高級午餐冰袋（LEEDS）,B000057100199,28563,2025/8/13,2025/11/5,1008,0,1008,2025/8/14,2025/11/6,1008,0
,VS2508010,SPG,SPG210K05G0,石板綠GREEN SLATE,手提包C0,B000055531099,28563,2025/8/13,2025/11/5,1008,0,1008,2025/8/14,2025/10/25,1008,0
,VS2508010,SPG,SPG210K05A0,黑色BLACK,手提包C0（常規）,B000055500199,28563,2025/8/13,2025/11/5,2016,0,2016,2025/8/19,2025/10/26,2016,0
,VS2508010,SPG,SPG200K12A0,黑色BLACK,可收納旅行袋,B000056400199,28563,2025/8/13,2025/11/5,1010,0,1010,2025/8/14,2025/10/28,1010,0
,VS2508011,SPG,SPG200K12T0,棕色CARHARTT BROWN,可收纳旅行袋,B000056421199,28584,2025/8/15,2025/11/23,5886,0,5886,2025/8/14,2025/10/30,5886,0
,VS2508012,SPG,SPG200K121A0,BLACK黑色,旅行冰袋,B000056700199,28585,2025/8/15,2025/11/23,2004,0,2004,2025/8/19,2025/11/10,2004,0
,VS2508013,SPG,SPG200K20G0,灰色,20寸潛水裝備袋,B000056503999,28586,2025/8/15,2025/11/23,2052,0,2052,2025/8/19,2025/11/3,2052,0
,VS2508014,SPG,SPG200K151A0,黑色 BLACK,高級午餐冰袋（LEEDS）,B000057100199,28587,2025/8/15,2025/11/23,3276,0,3276,2025/8/19,2025/11/8,3276,0
,VS2508014,SPG,SPG200K151T0, 棕色(CARHARTT BROWN),高級午餐冰袋（LEEDS）,B000057121199,28587,2025/8/15,2025/11/23,2556,0,2556,2025/8/19,2025/11/11,2556,0
,VS2508014,SPG,SPG200K151N0,深藍色NAVY,高級午餐冰袋（LEEDS）,B000057140199,28587,2025/8/15,2025/11/23,4860,0,4860,2025/8/19,2025/11/13,4860,0
,VS2508015,SPG,SPG200K16T0,棕色CARHARTT BROWN,冰袋背包（SANMAR),B000056821199,28588,2025/8/15,2025/11/23,2004,0,2004,2025/8/19,2025/11/6,2004,0
,VS2508015,SPG,SPG200K16A0, 黑色 BLACK,冰袋背包(sanmar),B000056800199,28588,2025/8/15,2025/11/23,2004,0,2004,2025/8/19,2025/11/12,2004,0
,VS2508016,SPG,SPG200K05A0,BLACK 黑色,SANMAR 手提包,B000060800199,28589,2025/8/15,2025/11/23,6,3,9,2025/8/19,2025/11/19,9,0
,VS2508016,SPG,SPG200K05G0,GRAVEL 灰色,SANMAR 手提包,B000060803999,28589,2025/8/15,2025/11/23,5,3,8,2025/8/19,2025/11/19,8,0
,VS2508016,SPG,SPG200K05T0,CARHARTT BROWN 棕色,SANMAR手提包,B000060821199,28589,2025/8/15,2025/11/23,1,3,4,2025/8/19,2025/11/19,4,0
,VS2508016,SPG,SPG200K164T0,CARHARTT BROWN 棕色,SANMAR 16寸工具袋含底盘,B000068721199,28589,2025/8/15,2025/11/23,10,3,13,2025/8/19,2025/11/18,13,0
,VS2508017,SPG,SPG200K05A0,BLACK 黑色,SANMAR 手提包,B000060800199,28596,2025/8/15,2026/3/23,151,0,151,2025/8/19,2025/11/19,151,0
,VS2508017,SPG,SPG200K05G0,GRAVEL 灰色,SANMAR 手提包,B000060803999,28596,2025/8/15,2026/3/23,2,0,2,2025/8/19,2025/11/19,2,0
,VS2508017,SPG,SPG200K05T0,CARHARTT BROWN 棕色,SANMAR手提包,B000060821199,28596,2025/8/15,2026/3/23,2,0,2,2025/8/19,2025/11/19,2,0
,VS2508017,SPG,SPG200K164T0,CARHARTT BROWN 棕色,SANMAR 16寸工具袋含底盘,B000068721199,28596,2025/8/15,2026/3/23,151,0,151,2025/8/19,2025/11/18,151,0
,VS2508018,CAU,CIW029C8Z0,Z0/水彩蝴蝶印花,"8""方形午餐袋",10005653,SL007159~7160,2025/8/17,2025/10/9,20480,5,20485,2025/8/19,2025/9/25,20485,0
,VS2508019,TLP,TLP150B18.5R0,CRIMSON SHADOW / 黑配紅,"18.5"" 大號電腦背包",430245808,OB#13398,2025/8/18,2025/11/21,500,5,505,2025/8/21,2025/11/1,505,0
,VS2508020,CAU,CIW215C11W0,W0/白色,16罐無拉鏈冰袋,10006328,BLK_SL007017,2025/8/19,2025/11/6,12728,15,12743,2025/8/21,2025/9/26,12743,0
,VS2508021,TLP,TLP120B18.5A0,JET BLACK / 黑色,"18.5""大號電腦背包",430245801,OB#13412,2025/8/20,2025/11/27,500,1,501,2025/8/24,2025/11/10,501,0
,VS2508023,TLP,TLP070T28A0,BLACK/黑色,"28""四輪伸縮拉桿箱",407246901,OB#13413,2025/8/20,2025/11/13,500,1,501,2025/8/24,2025/10/27,501,0
,VS2508023,TLP,TLP070D16B0,PATRIOT BLUE/愛國者藍,"16""手提包",407240322,OB#13413,2025/8/20,2025/11/13,425,1,426,2025/8/24,2025/10/27,426,0
,VS2508023,TLP,TLP070T21.5A0,BLACK/黑色,"21""四輪伸縮拉桿箱",407246101,OB#13413,2025/8/20,2025/11/21,800,1,801,2025/8/24,2025/11/1,801,0
,VS2508023,TLP,TLP070T25A0,BLACK/黑色,"25""四輪伸縮拉桿箱",407246501,OB#13413,2025/8/20,2025/11/21,700,1,701,2025/8/24,2025/11/1,701,0
