訂單號,訂單序號,訂單版本,主鍵標示,客戶簡稱,客戶簡碼,款號,款號名稱,COLORWAY,客戶款號代碼,訂單數量,加產數量,客戶訂單號,款號尺寸,下單日期,客戶要求交期,建立日期,生效日期
VS2505020,1,1,VS2505020-1,Victorinox Swiss Army,VIC,VIC170-2B18-1A0,背包6（肩帶尾改成同VIC150）,BLACK黑色,602154,2,0,309559,,2025/5/27,2025/7/27 下午 11:00:00,2025/5/28,2025/5/29
VS2505021,1,1,VS2505021-1,Victorinox Swiss Army,VIC,VIC261T21.5A0,22寸四輪拉桿箱全球版,黑色,612418,4,0,309560,,2025/5/27,2025/8/16 下午 11:00:00,2025/5/28,2025/5/29
VS2505022,1,1,VS2505022-1,CALIFORNIA INNOVATIONS,CAU,CIS021C01Z03,"SAM'S 26""大購物袋-經典版 4087SU RC",Z03/CSI 205684-藏藍,2173SUP18001,72240,5,BLK_SL006236F,,2025/5/28,2025/8/27 下午 11:00:00,2025/5/29,2025/5/29
VS2505022,2,1,VS2505022-2,CALIFORNIA INNOVATIONS,CAU,CIS021C01Z04,"SAM'S 26""大購物袋-經典版 4087SU RC",Z04/CSI 2032726-淡紅,2173SUP18001,65016,5,BLK_SL006236F,,2025/5/28,2025/8/27 下午 11:00:00,2025/5/29,2025/5/29
VS2505022,3,1,VS2505022-3,CALIFORNIA INNOVATIONS,CAU,CIS021C01Z07,"SAM'S 26""大購物袋-經典版 4087SU RC",Z07/米白+深綠,2173SUP18001,57792,5,BLK_SL006236F,,2025/5/28,2025/8/27 下午 11:00:00,2025/5/29,2025/5/29
VS2505022,4,1,VS2505022-4,CALIFORNIA INNOVATIONS,CAU,CIS021C01Z09,"SAM'S 26""大購物袋-經典版 4087SU RC",Z09/米白+酒紅,2173SUP18001,57792,5,BLK_SL006236F,,2025/5/28,2025/8/27 下午 11:00:00,2025/5/29,2025/5/29
VS2505023,1,1,VS2505023-1,SPG,SPG,SPG210K5L0,女士生活用品袋C0,岩石綠GREENSTONE,B000051231599,2040,0,28213,,2025/5/29,2025/8/19 下午 11:00:00,2025/5/30,2025/5/30
VS2505023,2,1,VS2505023-2,SPG,SPG,SPG171B10A0,12罐冰袋,BLACK黑色,B000054600199,2952,0,28213,,2025/5/29,2025/8/19 下午 11:00:00,2025/5/30,2025/5/30
VS2505024,1,1,VS2505024-1,CALIFORNIA INNOVATIONS,CAU,CIW211C13B0,24罐無拉鏈冰袋,B0/霧藍色,10005502,7000,8,BLK_SL006233A,,2025/5/29,2025/7/19 下午 11:00:00,2025/5/30,2025/5/30
VS2506001,1,1,VS2506001-1,CALIFORNIA INNOVATIONS,CAU,CIS045C15Z1,SAM'S 2026 16罐無拉鏈冰袋,Z1/深灰19-0203TPG,3726SU RC,56658,17,BLK_SL007016,,2025/6/26,2025/10/23,2025/6/26,2025/6/26
VS2506001,2,1,VS2506001-2,CALIFORNIA INNOVATIONS,CAU,CIS045C15Z2,SAM'S 2026 16罐無拉鏈冰袋,Z2/藍色18-3949TPG,3726SU RC,32802,17,BLK_SL007016,,2025/6/26,2025/10/23,2025/6/26,2025/6/26
VS2506001,3,1,VS2506001-3,CALIFORNIA INNOVATIONS,CAU,CIS045C15Z3,SAM'S 2026 16罐無拉鏈冰袋,Z3/藻綠18-0312TPG,3726SU RC,44730,17,BLK_SL007016,,2025/6/26,2025/10/23,2025/6/26,2025/6/26
VS2506002,1,1,VS2506002-1,Travelpro,TLP,TLP050T16A0,"16""兩輪拉桿電腦袋",BLAKC/黑色,3616-01,500,3,OB#13289,,2025/6/14,2025/9/10,2025/6/14,2025/6/16
VS2506003,1,1,VS2506003-1,Travelpro,TLP,TLP050T15A0,"15""兩輪拉桿電腦袋",BLAKC/黑色,3613-01,500,1,OB#13289,,2025/6/14,2025/9/10,2025/6/14,2025/6/16
VS2506003,2,1,VS2506003-2,Travelpro,TLP,TLP050T23A0,"23""兩輪登機箱（伸縮）",BLACK/黑色,3632-01,500,1,OB#13289,,2025/6/14,2025/9/10,2025/6/14,2025/6/16
VS2506003,3,1,VS2506003-3,Travelpro,TLP,TLP050K14A0,"14""冰袋",BLACK/黑色,3605-01,500,1,OB#13289,,2025/6/14,2025/9/10,2025/6/14,2025/6/16
VS2506004,1,1,VS2506004-1,Travelpro,TLP,TLP070T21A0,"21""兩輪伸縮行李箱",BLACK/黑色,407242201,300,1,OB#13288,,2025/6/14,2025/9/10,2025/6/14,2025/6/16
VS2506004,2,1,VS2506004-2,Travelpro,TLP,TLP070T25A0,"25""四輪伸縮拉桿箱",BLACK/黑色,407246501,300,1,OB#13288,,2025/6/14,2025/9/10,2025/6/14,2025/6/16
VS2506004,3,1,VS2506004-3,Travelpro,TLP,TLP070T21.5A0,"21""四輪伸縮拉桿箱",BLACK/黑色,407246101,750,1,OB#13288,,2025/6/14,2025/9/20,2025/6/14,2025/6/16
VS2506004,4,1,VS2506004-4,Travelpro,TLP,TLP070T21.5G0,"21""四輪伸縮拉桿箱",TITANIUM GREY/鈦灰色,407246105,300,1,OB#13288,,2025/6/14,2025/9/20,2025/6/14,2025/6/16
VS2506004,5,1,VS2506004-5,Travelpro,TLP,TLP070T28B0,"28""四輪伸縮拉桿箱",PATRIOT BLUE/愛國者藍,407246922,700,1,OB#13288,,2025/6/14,2025/9/20,2025/6/14,2025/6/16
VS2506004,6,1,VS2506004-6,Travelpro,TLP,TLP070T15A0,"15""兩輪拉桿電腦箱",BLACK/黑色,407247701,300,1,OB#13288,,2025/6/14,2025/9/20,2025/6/14,2025/6/16
VS2506004,7,1,VS2506004-7,Travelpro,TLP,TLP070T15B0,"15""兩輪拉桿電腦箱",BLUE/愛國者藍,407247722,500,1,OB#13288,,2025/6/14,2025/9/20,2025/6/14,2025/6/16
VS2506004,8,1,VS2506004-8,Travelpro,TLP,TLP070T21.5B0,"21""四輪伸縮拉桿箱",PATRIOT BLUE/愛國者藍,407246122,1300,1,OB#13288,,2025/6/14,2025/9/25,2025/6/14,2025/6/16
VS2506004,9,1,VS2506004-9,Travelpro,TLP,TLP070T25B0,"25""四輪伸縮拉桿箱",PATRIOT BLUE/愛國者藍,407246522,2000,1,OB#13288,,2025/6/14,2025/9/25,2025/6/14,2025/6/16
VS2506004,10,1,VS2506004-10,Travelpro,TLP,TLP070T28G0,"28""四輪伸縮拉桿箱",TITANIUM GREY/鈦灰色,407246905,300,1,OB#13288,,2025/6/14,2025/10/4,2025/6/14,2025/6/16
VS2506005,1,1,VS2506005-1,Travelpro,TLP,TLP074T20B0,"20""四輪伸縮拉杆箱",PATRIOT BLUE / 愛國者藍,407246222,700,5,OB#13288,,2025/6/14,2025/10/4,2025/6/14,2025/6/14
VS2506006,1,1,VS2506006-1,Travelpro,TLP,TLP121D13.5A0,"13.5""斜挎包",Black/ 黑配黑,430248201,600,1,OB#13287,,2025/6/14,2025/9/20,2025/6/14,2025/6/14
VS2506006,2,1,VS2506006-2,Travelpro,TLP,TLP120B18.5G0,"18.5""大號電腦背包",FALCON GREY / 灰色,430245805,600,1,OB#13287,,2025/6/14,2025/10/4,2025/6/14,2025/6/14
VS2506007,1,1,VS2506007-1,SPG,SPG,SPG200K20T0,20寸潛水裝備袋,CARHARTT BROWN 棕色,B000056521199,2004,0,28299,,2025/6/19,2025/10/9,2025/6/19,2025/6/19
VS2506008,1,1,VS2506008-1,SPG,SPG,SPG200K151N0,高級午餐冰袋（LEEDS）,深藍色NAVY,B000057140199,4032,0,28300,,2025/6/19,2025/10/9,2025/6/19,2025/6/19
VS2506008,2,1,VS2506008-2,SPG,SPG,SPG200K151T0,高級午餐冰袋（LEEDS）, 棕色(CARHARTT BROWN),B000057121199,2232,0,28300,,2025/6/19,2025/10/9,2025/6/19,2025/6/19
VS2506008,3,1,VS2506008-3,SPG,SPG,SPG200K151G0,高級午餐冰袋（LEEDS),灰色GRAVEL,B000057103999,2484,0,28300,,2025/6/19,2025/10/9,2025/6/19,2025/6/19
VS2506009,1,1,VS2506009-1,SPG,SPG,SPG200K16A0,冰袋背包(sanmar), 黑色 BLACK,B000056800199,2088,0,28301,,2025/6/19,2025/10/9,2025/6/19,2025/6/19
VS2506010,1,1,VS2506010-1,SPG,SPG,SPG200K10A0,長方冰袋,黑色（BLACK),B000057000199,2040,0,28302,,2025/6/19,2025/10/9,2025/6/19,2025/6/19
VS2506011,1,1,VS2506011-1,SPG,SPG,SPG210K05A0,手提包C0（常規）,黑色BLACK,B000055500199,3,0,27983,,2025/6/19,2025/7/3,2025/6/19,2025/6/20
VS2506012,1,1,VS2506012-1,SPG,SPG,SPG210K131A0,工具袋,BLACK 黑色,B000052100199,1020,0,28320,,2025/6/20,2025/8/20,2025/6/20,2025/6/20
VS2506013,1,1,VS2506013-1,SPG,SPG,SPG210K131T0,工具袋,CARHARTT BROWN 棕色,B000052121199,1020,0,28321,,2025/6/20,2025/8/20,2025/6/20,2025/6/20
VS2506014,1,1,VS2506014-1,SPG,SPG,SPG210K05A0,手提包C0（常規）,黑色BLACK,B000055500199,714,0,28322,,2025/6/20,2025/8/20,2025/6/20,2025/6/20
VS2506015,1,1,VS2506015-1,SPG,SPG,SPG171B10A0,12罐冰袋,BLACK黑色,B000054600199,1008,0,28323,,2025/6/20,2025/8/20,2025/6/20,2025/6/20
VS2506016,1,1,VS2506016-1,SPG,SPG,SPG210K05T0,手提包C0（常規）,棕色 CARHARTT BROWN,B000055521199,756,0,28324,,2025/6/20,2025/8/20,2025/6/20,2025/6/20
VS2506017,1,1,VS2506017-1,SPG,SPG,SPG171B10A0,12罐冰袋,BLACK黑色,B000054600199,3348,0,28334,,2025/6/21,2025/9/10,2025/6/21,2025/6/23
VS2506017,2,1,VS2506017-2,SPG,SPG,SPG210K05A0,手提包C0（常規）,黑色BLACK,B000055500199,3192,0,28334,,2025/6/21,2025/9/10,2025/6/21,2025/6/23
VS2506018,1,1,VS2506018-1,CALIFORNIA INNOVATIONS,CAU,CIW211C13B0,24罐無拉鏈冰袋,B0/霧藍色,10005502,30000,5,BLK_SL006233B,,2025/6/27,2025/8/17,2025/6/27,2025/6/30
VS2506019,1,1,VS2506019-1,SPG,SPG,SPG171B10A0,12罐冰袋,BLACK黑色,B000054600199,1848,0,28357,,2025/6/28,2025/9/18,2025/6/28,2025/6/28
VS2506020,1,1,VS2506020-1,SPG,SPG,SPG210K05T0,手提包C0（常規）,棕色 CARHARTT BROWN,B000055521199,8820,0,28358,,2025/6/28,2025/9/18,2025/6/28,2025/6/28
VS2506020,2,1,VS2506020-2,SPG,SPG,SPG171B10A0,12罐冰袋,BLACK黑色,B000054600199,1860,0,28358,,2025/6/28,2025/9/18,2025/6/28,2025/6/28
VS2506020,3,1,VS2506020-3,SPG,SPG,SPG210K05A0,手提包C0（常規）,黑色BLACK,B000055500199,6258,0,28358,,2025/6/28,2025/9/18,2025/6/28,2025/6/28
VS2506021,1,1,VS2506021-1,Samsonite,SAM,SAM220K15L0,"15.55""背包（ Backpack）",橄欖綠PINE GREEN,149196-1693,1,0,NA01263457,,2025/6/28,2025/7/4,2025/6/28,2025/6/30
VS2506022,1,1,VS2506022-1,Victorinox Swiss Army,VIC,VIC170-2B17A0,背包1（肩帶尾調節方式改同VIC150）,BLACK黑色,602151,1000,0,310691,,2025/6/30,2025/10/1,2025/6/30,2025/7/1
VS2506022,2,1,VS2506022-2,Victorinox Swiss Army,VIC,VIC170-2B18A0,背包5（肩帶尾調節方式改同VIC150）,BLACK黑色,602153,1000,0,310691,,2025/6/30,2025/10/1,2025/6/30,2025/7/1
VS2506022,3,1,VS2506022-3,Victorinox Swiss Army,VIC,VIC170-2B18-1A0,背包6（肩帶尾改成同VIC150）,BLACK黑色,602154,2000,0,310691,,2025/6/30,2025/10/1,2025/6/30,2025/7/1
VS2507001,1,1,VS2507001-1,CALIFORNIA INNOVATIONS,CAU,CIS045C50Z2,SAM'S 2026 50罐拉桿折疊冰袋 5062SU RB,Z2/深灰19-0203TPG,5062SU RB,16898,8,BLK_SL007015,,2025/7/4,2025/10/23,2025/7/4,2025/7/5
VS2507001,2,1,VS2507001-2,CALIFORNIA INNOVATIONS,CAU,CIS045C50Z3,SAM'S 2026 50罐拉桿折疊冰袋 5062SU RB,Z3/藻綠18-0312TPG,5062SU RB,12672,8,BLK_SL007015,,2025/7/4,2025/10/23,2025/7/4,2025/7/5
VS2507002,1,1,VS2507002-1,CALIFORNIA INNOVATIONS,CAU,CIS045C50Z2,SAM'S 2026 50罐拉桿折疊冰袋 5062SU RB,Z2/深灰19-0203TPG,5062SU RB,1750,5,BLK_SL007015,,2025/7/4,2025/10/23,2025/7/4,2025/7/5
VS2507002,2,1,VS2507002-2,CALIFORNIA INNOVATIONS,CAU,CIS045C50Z3,SAM'S 2026 50罐拉桿折疊冰袋 5062SU RB,Z3/藻綠18-0312TPG,5062SU RB,1330,5,BLK_SL007015,,2025/7/4,2025/10/23,2025/7/4,2025/7/5
VS2507003,1,1,VS2507003-1,CALIFORNIA INNOVATIONS,CAU,CIS021C01Z03,"SAM'S 26""大購物袋-經典版 4087SU RC",Z03/CSI 205684-藏藍,2173SUP18001,50400,5,BLK_SL006236G,,2025/7/7,2025/9/8,2025/7/7,2025/7/7
VS2507003,2,1,VS2507003-2,CALIFORNIA INNOVATIONS,CAU,CIS021C01Z04,"SAM'S 26""大購物袋-經典版 4087SU RC",Z04/CSI 2032726-淡紅,2173SUP18001,45360,5,BLK_SL006236G,,2025/7/7,2025/9/8,2025/7/7,2025/7/7
VS2507003,3,1,VS2507003-3,CALIFORNIA INNOVATIONS,CAU,CIS021C01Z07,"SAM'S 26""大購物袋-經典版 4087SU RC",Z07/米白+深綠,2173SUP18001,40320,5,BLK_SL006236G,,2025/7/7,2025/9/8,2025/7/7,2025/7/7
VS2507003,4,1,VS2507003-4,CALIFORNIA INNOVATIONS,CAU,CIS021C01Z09,"SAM'S 26""大購物袋-經典版 4087SU RC",Z09/米白+酒紅,2173SUP18001,40320,5,BLK_SL006236G,,2025/7/7,2025/9/8,2025/7/7,2025/7/7
VS2507004,1,1,VS2507004-1,CALIFORNIA INNOVATIONS,CAU,CIS045C15Z1,SAM'S 2026 16罐無拉鏈冰袋,Z1/深灰19-0203TPG,3726SU RC,2496,5,BLK_SL007016,,2025/7/8,2025/10/23,2025/7/8,2025/7/8
VS2507004,2,1,VS2507004-2,CALIFORNIA INNOVATIONS,CAU,CIS045C15Z2,SAM'S 2026 16罐無拉鏈冰袋,Z2/藍色18-3949TPG,3726SU RC,1716,5,BLK_SL007016,,2025/7/8,2025/10/23,2025/7/8,2025/7/8
VS2507004,3,1,VS2507004-3,CALIFORNIA INNOVATIONS,CAU,CIS045C15Z3,SAM'S 2026 16罐無拉鏈冰袋,Z3/藻綠18-0312TPG,3726SU RC,2340,5,BLK_SL007016,,2025/7/8,2025/10/23,2025/7/8,2025/7/8
VS2507005,1,3,VS2507005-1,WIP,WIP,WIP020K15O0,PRESCOTT 单肩包,OXIDE GREEN氧化綠色,I036281,675,2,25TR004511-20,,2025/7/9,2025/10/2,2025/7/9,2025/7/10
VS2507005,2,3,VS2507005-2,WIP,WIP,WIP020K15A0,PRESCOTT 單肩包,BLACK黑色,I036281,1805,2,25TR004511-20,,2025/7/9,2025/10/2,2025/7/9,2025/7/10
VS2507005,3,3,VS2507005-3,WIP,WIP,WIP020B18O0,PRESCOTT背包,OXIDE GREEN 氧化綠色,I036282,1595,2,25TR004511-20,,2025/7/9,2025/10/2,2025/7/9,2025/7/10
VS2507005,4,3,VS2507005-4,WIP,WIP,WIP020B18A0,PRESCOTT 背包,BLACK黑色,I036282,2040,2,25TR004511-20,,2025/7/9,2025/10/2,2025/7/9,2025/7/10
VS2507005,5,3,VS2507005-5,WIP,WIP,WIP020K06O0,PRESCOTT肩袋,OXIDE GREEN氧化綠色,I036283,2105,2,25TR004511-20,,2025/7/9,2025/10/2,2025/7/9,2025/7/10
VS2507005,6,3,VS2507005-6,WIP,WIP,WIP020K06A0,PRESCOTT 肩袋,BLACK黑色,I036283,2465,2,25TR004511-20,,2025/7/9,2025/10/2,2025/7/9,2025/7/10
VS2507005,7,3,VS2507005-7,WIP,WIP,WIP020K16O0,PRESCOTT 手提袋,OXIDE GREEN 氧化綠色,I036288,445,2,25TR004511-20,,2025/7/9,2025/10/2,2025/7/9,2025/7/10
VS2507005,8,3,VS2507005-8,WIP,WIP,WIP020K16A0,PRESCOTT手提袋,BLACK黑色,I036288,1970,2,25TR004511-20,,2025/7/9,2025/10/2,2025/7/9,2025/7/10
VS2507005,9,3,VS2507005-9,WIP,WIP,WIP020K05O0,PRESCOTT錢包,OXIDE GREEN氧化綠色,I036289,2900,2,25TR004511-20,,2025/7/9,2025/10/2,2025/7/9,2025/7/10
VS2507005,10,3,VS2507005-10,WIP,WIP,WIP020K05A0,PRESCOTT钱包,BLACK黑色,I036289,4015,2,25TR004511-20,,2025/7/9,2025/10/2,2025/7/9,2025/7/10
VS2507006,1,1,VS2507006-1,WIP,WIP,WIP020K15O0,PRESCOTT 单肩包,OXIDE GREEN氧化綠色,I036281,7,0,20250709-2,,2025/7/9,2025/8/15,2025/7/9,2025/7/10
VS2507006,2,1,VS2507006-2,WIP,WIP,WIP020K15A0,PRESCOTT 單肩包,BLACK黑色,I036281,7,0,20250709-2,,2025/7/9,2025/8/15,2025/7/9,2025/7/10
VS2507006,3,1,VS2507006-3,WIP,WIP,WIP020B18O0,PRESCOTT背包,OXIDE GREEN 氧化綠色,I036282,7,0,20250709-2,,2025/7/9,2025/8/15,2025/7/9,2025/7/10
VS2507006,4,1,VS2507006-4,WIP,WIP,WIP020B18A0,PRESCOTT 背包,BLACK黑色,I036282,7,0,20250709-2,,2025/7/9,2025/8/15,2025/7/9,2025/7/10
VS2507006,5,1,VS2507006-5,WIP,WIP,WIP020K06O0,PRESCOTT肩袋,OXIDE GREEN氧化綠色,I036283,7,0,20250709-2,,2025/7/9,2025/8/15,2025/7/9,2025/7/10
VS2507006,6,1,VS2507006-6,WIP,WIP,WIP020K06A0,PRESCOTT 肩袋,BLACK黑色,I036283,7,0,20250709-2,,2025/7/9,2025/8/15,2025/7/9,2025/7/10
VS2507006,7,1,VS2507006-7,WIP,WIP,WIP020K16O0,PRESCOTT 手提袋,OXIDE GREEN 氧化綠色,I036288,7,0,20250709-2,,2025/7/9,2025/8/15,2025/7/9,2025/7/10
VS2507006,8,1,VS2507006-8,WIP,WIP,WIP020K16A0,PRESCOTT手提袋,BLACK黑色,I036288,7,0,20250709-2,,2025/7/9,2025/8/15,2025/7/9,2025/7/10
VS2507006,9,1,VS2507006-9,WIP,WIP,WIP020K05O0,PRESCOTT錢包,OXIDE GREEN氧化綠色,I036289,7,0,20250709-2,,2025/7/9,2025/8/15,2025/7/9,2025/7/10
VS2507006,10,1,VS2507006-10,WIP,WIP,WIP020K05A0,PRESCOTT钱包,BLACK黑色,I036289,7,0,20250709-2,,2025/7/9,2025/8/15,2025/7/9,2025/7/10
VS2507007,1,1,VS2507007-1,WIP,WIP,WIP020K15O0,PRESCOTT 单肩包,OXIDE GREEN氧化綠色,I036281,5,0,20250709-3,,2025/7/9,2025/10/2,2025/7/9,2025/7/10
VS2507007,2,1,VS2507007-2,WIP,WIP,WIP020K15A0,PRESCOTT 單肩包,BLACK黑色,I036281,5,0,20250709-3,,2025/7/9,2025/10/2,2025/7/9,2025/7/10
VS2507007,3,1,VS2507007-3,WIP,WIP,WIP020B18O0,PRESCOTT背包,OXIDE GREEN 氧化綠色,I036282,5,0,20250709-3,,2025/7/9,2025/10/2,2025/7/9,2025/7/10
VS2507007,4,1,VS2507007-4,WIP,WIP,WIP020B18A0,PRESCOTT 背包,BLACK黑色,I036282,5,0,20250709-3,,2025/7/9,2025/10/2,2025/7/9,2025/7/10
VS2507007,5,1,VS2507007-5,WIP,WIP,WIP020K06O0,PRESCOTT肩袋,OXIDE GREEN氧化綠色,I036283,5,0,20250709-3,,2025/7/9,2025/10/2,2025/7/9,2025/7/10
VS2507007,6,1,VS2507007-6,WIP,WIP,WIP020K06A0,PRESCOTT 肩袋,BLACK黑色,I036283,5,0,20250709-3,,2025/7/9,2025/10/2,2025/7/9,2025/7/10
VS2507007,7,1,VS2507007-7,WIP,WIP,WIP020K16O0,PRESCOTT 手提袋,OXIDE GREEN 氧化綠色,I036288,5,0,20250709-3,,2025/7/9,2025/10/2,2025/7/9,2025/7/10
VS2507007,8,1,VS2507007-8,WIP,WIP,WIP020K16A0,PRESCOTT手提袋,BLACK黑色,I036288,5,0,20250709-3,,2025/7/9,2025/10/2,2025/7/9,2025/7/10
VS2507007,9,1,VS2507007-9,WIP,WIP,WIP020K05O0,PRESCOTT錢包,OXIDE GREEN氧化綠色,I036289,5,0,20250709-3,,2025/7/9,2025/10/2,2025/7/9,2025/7/10
VS2507007,10,1,VS2507007-10,WIP,WIP,WIP020K05A0,PRESCOTT钱包,BLACK黑色,I036289,5,0,20250709-3,,2025/7/9,2025/10/2,2025/7/9,2025/7/10
VS2507008,1,1,VS2507008-1,CALIFORNIA INNOVATIONS,CAU,CIC015C39Z2,COSTCO 2025 40罐塑料蓋子折疊冰袋,Z2/岩石黑18-0201TPG,10006081,1,0,Buyer sample,,2025/7/9,2025/7/16,2025/7/9,2025/7/10
VS2507008,2,1,VS2507008-2,CALIFORNIA INNOVATIONS,CAU,CIC015C39Z3,COSTCO 2025 40罐塑料蓋子折疊冰袋,Z3/藻綠色19-0220TPG,10006081,1,0,Buyer sample,,2025/7/9,2025/7/16,2025/7/9,2025/7/10
VS2507009,1,1,VS2507009-1,SPG,SPG,SPG150D11T0,55L 旅行袋,Carhartt Brown CSI 暗褐棕,B000042120199,46,9,28389,,2025/7/10,2025/8/25,2025/7/10,2025/7/11
VS2507009,2,1,VS2507009-2,SPG,SPG,SPG150D11A0,55L 旅行袋,BLACK 黑色,B000042100199,8,3,28389,,2025/7/10,2025/8/25,2025/7/10,2025/7/11
VS2507010,1,1,VS2507010-1,CALIFORNIA INNOVATIONS,CAU,CIS018C26Z14,"SAM'S 26""大購物袋",Z14/深海軍網格印花,10005950,2940,9,SL007101,,2025/7/11,2025/9/17,2025/7/11,2025/7/11
VS2507010,2,1,VS2507010-2,CALIFORNIA INNOVATIONS,CAU,CIS018C26Z15,"SAM'S 26""大購物袋",Z15/線條灰印花,10005950,2940,9,SL007101,,2025/7/11,2025/9/17,2025/7/11,2025/7/11
VS2507011,1,1,VS2507011-1,WIP,WIP,WIP020K15O0,PRESCOTT 单肩包,OXIDE GREEN氧化綠色,I036281,273,0,25TRHK02723-32,,2025/7/11,2025/10/2,2025/7/11,2025/7/12
VS2507011,2,1,VS2507011-2,WIP,WIP,WIP020K15A0,PRESCOTT 單肩包,BLACK黑色,I036281,693,0,25TRHK02723-32,,2025/7/11,2025/10/2,2025/7/11,2025/7/12
VS2507011,3,1,VS2507011-3,WIP,WIP,WIP020B18O0,PRESCOTT背包,OXIDE GREEN 氧化綠色,I036282,354,0,25TRHK02723-32,,2025/7/11,2025/10/2,2025/7/11,2025/7/12
VS2507011,4,1,VS2507011-4,WIP,WIP,WIP020B18A0,PRESCOTT 背包,BLACK黑色,I036282,709,0,25TRHK02723-32,,2025/7/11,2025/10/2,2025/7/11,2025/7/12
VS2507011,5,1,VS2507011-5,WIP,WIP,WIP020K06O0,PRESCOTT肩袋,OXIDE GREEN氧化綠色,I036283,643,0,25TRHK02723-32,,2025/7/11,2025/10/2,2025/7/11,2025/7/12
VS2507011,6,1,VS2507011-6,WIP,WIP,WIP020K06A0,PRESCOTT 肩袋,BLACK黑色,I036283,882,0,25TRHK02723-32,,2025/7/11,2025/10/2,2025/7/11,2025/7/12
VS2507011,7,1,VS2507011-7,WIP,WIP,WIP020K16O0,PRESCOTT 手提袋,OXIDE GREEN 氧化綠色,I036288,304,0,25TRHK02723-32,,2025/7/11,2025/10/2,2025/7/11,2025/7/12
VS2507011,8,1,VS2507011-8,WIP,WIP,WIP020K16A0,PRESCOTT手提袋,BLACK黑色,I036288,679,0,25TRHK02723-32,,2025/7/11,2025/10/2,2025/7/11,2025/7/12
VS2507011,9,1,VS2507011-9,WIP,WIP,WIP020K05O0,PRESCOTT錢包,OXIDE GREEN氧化綠色,I036289,352,0,25TRHK02723-32,,2025/7/11,2025/10/2,2025/7/11,2025/7/12
VS2507011,10,1,VS2507011-10,WIP,WIP,WIP020K05A0,PRESCOTT钱包,BLACK黑色,I036289,486,0,25TRHK02723-32,,2025/7/11,2025/10/2,2025/7/11,2025/7/12
VS2507012,1,2,VS2507012-1,WIP,WIP,WIP010K16T0,兩用冰袋,HAMILTON BROWN 漢密爾顿棕色,I034760,2400,2,20250712-1,,2025/7/12,2025/11/24,2025/7/12,2025/7/14
VS2507013,1,1,VS2507013-1,WIP,WIP,WIP010K16T0,兩用冰袋,HAMILTON BROWN 漢密爾顿棕色,I034760,7,0,20250712-2,,2025/7/12,2025/11/24,2025/7/12,2025/7/14
VS2507014,1,1,VS2507014-1,WIP,WIP,WIP010K16T0,兩用冰袋,HAMILTON BROWN 漢密爾顿棕色,I034760,10,0,20250712-3,,2025/7/12,2025/11/24,2025/7/12,2025/7/14
VS2507015,1,1,VS2507015-1,CALIFORNIA INNOVATIONS,CAU,CIS045C50Z2,SAM'S 2026 50罐拉桿折疊冰袋 5062SU RB,Z2/深灰19-0203TPG,5062SU RB,16901,0,BLK_SL007015,,2025/7/14,2025/10/23,2025/7/14,2025/7/15
VS2507015,2,1,VS2507015-2,CALIFORNIA INNOVATIONS,CAU,CIS045C50Z3,SAM'S 2026 50罐拉桿折疊冰袋 5062SU RB,Z3/藻綠18-0312TPG,5062SU RB,12679,0,BLK_SL007015,,2025/7/14,2025/10/23,2025/7/14,2025/7/15
VS2507016,1,2,VS2507016-1,CALIFORNIA INNOVATIONS,CAU,CIS045C50Z2,SAM'S 2026 50罐拉桿折疊冰袋 5062SU RB,Z2/深灰19-0203TPG,5062SU RB,1750,0,BLK_SL007015,,2025/7/14,2025/10/23,2025/7/14,2025/7/15
VS2507016,2,2,VS2507016-2,CALIFORNIA INNOVATIONS,CAU,CIS045C50Z3,SAM'S 2026 50罐拉桿折疊冰袋 5062SU RB,Z3/藻綠18-0312TPG,5062SU RB,1330,0,BLK_SL007015,,2025/7/14,2025/10/23,2025/7/14,2025/7/15
VS2507017,1,1,VS2507017-1,SPG,SPG,SPG210K05T0,手提包C0（常規）,棕色 CARHARTT BROWN,B000055521199,2016,0,28401,,2025/7/15,2025/10/4,2025/7/15,2025/7/15
VS2507017,2,1,VS2507017-2,SPG,SPG,SPG210K161A0,汽車雜物袋C0（常規）,黑色BLACK,B000055600199,2004,0,28401,,2025/7/15,2025/10/4,2025/7/15,2025/7/15
VS2507017,3,1,VS2507017-3,SPG,SPG,SPG210K05A0,手提包C0（常規）,黑色BLACK,B000055500199,2016,0,28401,,2025/7/15,2025/10/4,2025/7/15,2025/7/15
VS2507017,4,1,VS2507017-4,SPG,SPG,SPG210K141T0,中號工具袋C0（常規）,棕色 CARHARTT BROWN,B000052221199,2004,0,28401,,2025/7/15,2025/10/4,2025/7/15,2025/7/15
VS2507017,5,1,VS2507017-5,SPG,SPG,SPG210K5A0,女士生活用品袋C0（常規）,黑色BLACK,B000051200199,2040,0,28401,,2025/7/15,2025/10/4,2025/7/15,2025/7/15
VS2507017,6,1,VS2507017-6,SPG,SPG,SPG210K11A0,"25""多功能旅行袋C0（常規）",黑色,B000049900199,2008,0,28401,,2025/7/15,2025/10/4,2025/7/15,2025/7/15
VS2507018,1,1,VS2507018-1,SPG,SPG,SPG210K141T0,中號工具袋C0（常規）,棕色 CARHARTT BROWN,B000052221199,6,0,28401,,2025/7/15,2025/9/20,2025/7/15,2025/7/15
