訂單編號,產品別,規格,鍍層碼,厚度mm,寬度mm,用途碼,業務需求備註
2510EFE023/002,PPGL,A792CSB,AZ35,0.356,1219,COG001,"TO 技術處:
1.THICKNESS CONTROL IS CIRTIAL
2.THICKNESS TOLERANCE IS AIMING 1/2 OF A924 OR BETTER

修改訂單 2025/10/07 * 修改鍍層為AZ35"
2510EFE026/003,PPGL,A792MCSB,AZM150,0.47,914,COA010,"TO 原料/生管:
請投入兩顆r較小鋼捲生產。

2025/11/18 修改訂單 "" 色碼更改成RYB972*"
2503DFD028/004,PPGL,CGLC400-10,AZ70,0.476,911,CIA007,"2025/4/10:新增此項次

1.目標寬度912~914mm
2.單捲限重2.8-3.2噸，最後一顆可不依限重。"
2504DCD004/001,PPGL,CGLC400-20,AZ150,0.52,914,CIA008,由TWZ0887轉入，請勿投產
2510DCD008/001,PPGL,A792MSSGR550,AZM150,0.42,914,CIA008,1.由2510DFD067/001轉入。
2510AIX004/001,PPGL,A792CSB,AZ50,0.437,1213,COG001,"=2510EOE004/001

2026/01/30
新增正背面顏色"
2510DMD045/017,,,,,,,"2025/10/27Revised
1.新增項次17。"
2504EFE044/001,PPGL,A792SSGR80,AZ50,0.381,1038,COG003,"TO 技術處: 
1.TOLERANCE AS PER 1/2 ASTM STANDARD。  
2.保固須依照FORMA STEEL 2022年保固書內容。  
3.客戶希望此批訂單機性與化性Y.S & T.S MAX 100KSI，
  請比照151EFE047 OR 154EFE069，
  主要考量BENDING盡量不能有CRACKING現象(不保證)，
  煩請比照以上兩張訂單選購原料與生產。"
2504EFE045/001,PPGL,A792SSGR80,AZ50,0.485,1086,COG003,"TO 技術處: 
1. TOLERANCE AS PER 1/2 ASTM STANDARD。  
2.保固須依照FORMA STEEL 2022年保固書內容。  
3.客戶希望此批訂單機性與化性Y.S & T.S MAX 100KSI，
  請比照151EFE047 OR 154EFE069，
  主要考量BENDING盡量不能有CRACKING現象(不保證)，
  煩請比照以上兩張訂單選購原料與生產。"
2512RIX001/001,PPGL,CGLCC-10,AZ50,0.18,830,COR005,"1. RD測試訂單/薄塗型發泡水性背漆/需求 500kg烤漆鋼捲/成型發泡測試用
2.本次測試訂單: 原料""不須""配料，由RD與PP協商找超薄屋頂背板訂單(0.18*830mm/CQ)鋼捲投入烤漆測試"
2511DCD011/003,PPSUS,CSUS304-20,-,0.46,914,CIA008,由TWZ0887轉入，請勿投產。
2511DCD011/002,PPSUS,CSUS304-20,-,0.46,914,CIA008,由TWZ0887轉入，請勿投產。
2506EFE008/003,PPGL,A792SSGR50,AZ50,0.508,1099,COG003,"TO技術處:
保證1/2 ASTM 厚度公差，平坦度<=12 I-UNIT
END-USE: METAL BUILDING PANEL
品證書上請備註""SMP 40Y BY PAINT SUPPLIER"""
2505EFE032/022,PPGL,A792SSGR33,AZ50,0.508,1219,COG001,2025/04/21: 更改用途別，由COG013改回COG001
2505EFE039/002,PPGL,A792SSGR80,AZ50,0.361,1038,COG007,"TO技術處
1.Flatness requirement: aiming 10 I-Unit and 12 I-Unit guaranteed
2.Thickness requirement: -0+5% of ordered decimal thickness of MIN thickness."
2506EFE022/001,PPGL,A792SSGR80,AZ35,0.368,1038,COG001,"*請勿生產* 2025/9/4 更改Trader:由OPTIMA改為MARCO POLO
以及更改SHIPMENT DATE

TO 技術處:
AIM TO GAUGE : 1.93-1.96 LBS/LF 
TARGET :1.95 LBS/LF (NO GUARANTEE)
Notes : MAX 15 I Units, Flush Wound - No Stagger Wind,
No Center Buckle or Oil Canning, Skin Passed, Tension Leveled."
2504DCD008/001,PPSUS,CSUS304-20,-,0.46,914,CIA008,由TWZ0887轉入，請勿投產
2506EFE012/001,PPGL,A792SSGR80,AZ50,0.361,1038,COG007,"TO 技術:
1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT"
2506EFE005/005,PPGL,A792SSGR80,AZ50,0.381,1029,COG003,"TO技術處:
保證1/2 ASTM 厚度公差，平坦度<=12 I-UNIT
END-USE: METAL BUILDING PANEL
品證書上請備註""SMP 40Y BY PAINT SUPPLIER"""
2506EFE011/001,PPGL,A792SSGR33,AZ50,0.483,1029,COG007,"TO技術處:
保證1/2 ASTM 厚度公差，平坦度<=12 I-UNIT
END-USE: METAL BUILDING PANEL
品證書上請備註""SMP 40Y BY PAINT SUPPLIER"""
2504DFD078/001,PPGL,A792MCQ,AZM210,0.6,1219,CIA008,"2025/4/29:
客戶改下訂單，更改規格為CNS CGLC400-32，故取消此項次。

1.修補漆*1
2.限重4~4.5噸，最後一顆可不依限重。"
2505EFE038/005,PPGL,A792SSGR80,AZ50,0.381,1029,COG003,"TO技術處:
保證1/2 ASTM 厚度公差，平坦度<=12 I-UNIT
END-USE: METAL BUILDING PANEL
品證書上請備註""SMP 40Y BY PAINT SUPPLIER""

請務必加嚴管控避免背面漆溢流現象."
2506EFE009/001,PPGL,A792SSGR33,AZ50,0.508,1216,COG003,"TO技術處:
保證1/2 ASTM 厚度公差，平坦度<=12 I-UNIT
END-USE: METAL BUILDING PANEL
品證書上請備註""SMP 40Y BY PAINT SUPPLIER"""
2506EFE010/001,PPGL,A792SSGR50,AZ50,0.457,1029,COG003,"TO技術處:
平坦度<=12 I-UNIT
END-USE: METAL BUILDING PANEL
品證書上請備註""SMP 40Y BY PAINT SUPPLIER"""
2505EFE038/002,PPGL,A792SSGR80,AZ50,0.381,1029,COG003,"TO技術處:
保證1/2 ASTM 厚度公差，平坦度<=12 I-UNIT
END-USE: METAL BUILDING PANEL
品證書上請備註""SMP 40Y BY PAINT SUPPLIER""

請務必加嚴管控避免背面漆溢流現象."
2505EFE037/002,PPGL,A792SSGR80,AZ50,0.381,1029,COG003,"TO技術處:
保證1/2 ASTM 厚度公差，平坦度<=12 I-UNIT
END-USE: METAL BUILDING PANEL
品證書上請備註""SMP 40Y BY PAINT SUPPLIER""

請務必加嚴管控避免背面漆溢流現象.

***此訂單中轉Camden, 後段由住友承接運送至加拿大，非銷美訂單***"
2506EFE005/004,PPGL,A792SSGR80,AZ50,0.381,1029,COG003,"TO技術處:
保證1/2 ASTM 厚度公差，平坦度<=12 I-UNIT
END-USE: METAL BUILDING PANEL
品證書上請備註""SMP 40Y BY PAINT SUPPLIER"""
2506EFE005/003,PPGL,A792SSGR80,AZ50,0.381,1029,COG003,"TO技術處:
保證1/2 ASTM 厚度公差，平坦度<=12 I-UNIT
END-USE: METAL BUILDING PANEL
品證書上請備註""SMP 40Y BY PAINT SUPPLIER"""
2506EFE006/001,PPGL,A792SSGR80,AZ50,0.381,1029,COG003,"TO技術處:
保證1/2 ASTM 厚度公差，平坦度<=12 I-UNIT
END-USE: METAL BUILDING PANEL
品證書上請備註""SMP 40Y BY PAINT SUPPLIER"""
2505EFE038/003,PPGL,A792SSGR80,AZ50,0.381,1029,COG003,"TO技術處:
保證1/2 ASTM 厚度公差，平坦度<=12 I-UNIT
END-USE: METAL BUILDING PANEL
品證書上請備註""SMP 40Y BY PAINT SUPPLIER""

請務必加嚴管控避免背面漆溢流現象."
2506EFE008/001,PPGL,A792SSGR50,AZ50,0.508,1099,COG007,"TO技術處:
保證1/2 ASTM 厚度公差，平坦度<=12 I-UNIT
END-USE: METAL BUILDING PANEL
品證書上請備註""SMP 40Y BY PAINT SUPPLIER""

2025/04/22: 修改用途碼，由超耐候(誤植)改成超保固。"
2505EFE035/001,PPGL,A792SSGR80,AZ50,0.381,1029,COG003,"TO技術處:
保證1/2 ASTM 厚度公差，平坦度<=12 I-UNIT
END-USE: METAL BUILDING PANEL"
2504DCD008/003,PPSUS,CSUS304-20,-,0.46,914,CIA008,由TWZ0887轉入，請勿投產
2506EFE009/002,PPGL,A792SSGR33,AZ50,0.508,1216,COG003,"TO技術處:
保證1/2 ASTM 厚度公差，平坦度<=12 I-UNIT
END-USE: METAL BUILDING PANEL
品證書上請備註""SMP 40Y BY PAINT SUPPLIER"""
2505EFE032/003,PPGL,A792SSGR80,AZ50,0.381,1041,COG001,2025/04/18: 更改用途別，由COG013改回COG001
2504DFD077/004,PPGL,A792MCQ,AZM150,0.6,762,COA001,"1.修補漆*1
2.請生產足量
3.限重4.0~4.5噸，依上限重為主分切，最後一顆可不依限重"
2504DFD077/005,PPGL,A792MCQ,AZM150,0.426,914,CIA008,"1.修補漆*1
2.請生產足量
3.限重4.0~4.5噸，依上限重為主分切，最後一顆可不依限重"
2504DFD077/002,PPGL,CGLCC-30,AZ200,0.6,914,CIA008,"1.修補漆*1
2.請生產足量
3.限重4.0~4.5噸，依上限重為主分切，最後一顆可不依限重"
2504DFD077/003,PPGL,CGLCC-30,AZ200,0.8,762,COA001,"1.修補漆*1
2.請生產足量
3.限重4.0~4.5噸，依上限重為主分切，最後一顆可不依限重"
2505EFE039/001,PPGL,A792SSGR80,AZ50,0.361,1038,COG003,"TO技術處
1.Flatness requirement: aiming 10 I-Unit and 12 I-Unit guaranteed
2.Thickness requirement: -0+5% of ordered decimal thickness of MIN thickness."
2504DFD079/004,PPGI,CGCC-10,Z12,1.4,1046,COA006,"急單
1.母鋼分切2顆
2.投入2顆HR"
2504DFD062/003,PPGL,CGLCC-20,AZ150,0.42,914,CIA008,"2025/4/18:新增此項次
1.限重4~4.9噸，最後一顆可不依限重。"
2506EFE014/002,PPGL,A792SSGR80,AZ50,0.361,1038,COG007,"TO技術處
FLATNESS : AIMING 1.9~1.95 LB/FT"
2504DFD079/001,PPGI,CGCC-10,Z12,0.8,1220,COA006,"急單
1.HR請挑選21噸內
2.母鋼分切2顆，限重8~10.5噸，勿超上限重。"
2504DFD079/002,PPGI,CGCC-10,Z12,1,1220,COA006,"急單
1.HR請挑選21噸內
2.母鋼分切2顆，限重8~10.5噸，勿超上限重。"
2506EFE015/001,PPGL,A792SSGR80,AZ50,0.381,1035,COG003,TO技術處: THICKNESS TOLERANCE: 0/+0.003
2505EFE049/003,PPGL,A792SSGR80,AZ50,0.381,1041,COG003,"TO 技術處：
1. THICKNESS TOLERANCE PER 1/2 ASTM STANDARD。 
2. AIMING 單位長度不得超過2LBS / LINEAR FOOT。"
2505EFE049/004,PPGL,A792SSGR80,AZ50,0.381,1041,COG003,"TO 技術處：
1. THICKNESS TOLERANCE PER 1/2 ASTM STANDARD。 
2. AIMING 單位長度不得超過2LBS / LINEAR FOOT。"
2507EFE001/001,PPGL,A792SSGR80,AZ50,0.361,1038,COG007,"TO 原料&技術
*請勿配料 底材已完成* 9/11更改港口

TO技術處
FLATNESS : AIMING 1.9~1.95 LB/FT"
2507EFE001/002,PPGL,A792SSGR80,AZ50,0.361,1038,COG003,"TO 原料&技術
*請勿配料 底材已完成* 9/11更改港口

TO技術處
FLATNESS : AIMING 1.9~1.95 LB/FT"
2507EFE001/003,PPGL,A792SSGR80,AZ50,0.361,1038,COG003,"TO 原料&技術
*請勿配料 底材已完成* 9/11更改港口

TO技術處
FLATNESS : AIMING 1.9~1.95 LB/FT"
2510DFD063/001,PPGL,CGLC400-30,AZ150,0.52,914,CIA008,1.限重4~4.9，最後一顆可不一限重
2511EFE005/001,PPGL,G300,AZ100,0.4,914,CIA014,"TO 原料  / 生管:
馬來西亞進口批文限制，請勿超過客戶下單上限10%TO 技術處:請注意光澤度"
2510DFD040/002,PPGL,A792MSSGR550,AZM210,0.6,1200,CIA008,"114/10/21 Revised
1.客戶修改訂單數量，總數量20MT→40MT
2.新增項次2，尺寸、規格、顏色等皆同項次1。


數量最少請產足20噸"
2511DFD004/001,PPGI,CGCC-10,Z08,0.326,797,CIC001,"此張訂單不用配料

由2511DFD003/003 轉入8噸底材生產

AWF54這個顏色的機種要結束了，只需要最後8噸，所以煩請控制好重量(7.5噸~8噸)，感謝"
2511DFD005/001,PPGI,CGCC-10,Z08,0.326,715,CIC001,"*聲寶冰箱側板訂單,包裝方式請改為S3,單捲限重為3~5MT"
2504DFD079/003,PPGI,CGCC-10,Z12,1,1243,COA006,"急單
1.母鋼分切2顆"
2504DFD080/001,PPGL,CGLC400-32,AZ170,0.55,914,CIA008,"2025/06/02 Revised
1.煩請品證備註欄上註明：(1)底材符合CNS1237規範
                                           (2)高耐候PVDF產品
1.煩請挑選小鋼捲投入生產"
2504DFD080/002,PPGL,CGLC400-32,AZ170,0.55,914,CIA008,"2025/06/02 Revised
1.煩請品證備註欄上註明：(1)底材符合CNS1237規範
                                           (2)高耐候PVDF產品
1.煩請挑選小鋼捲投入生產"
2506EFE019/001,PPGL,A792SSGR80,AZ50,0.381,1035,COG003,TO技術處: THICKNESS TOLERANCE: 0/+0.003
2506EFE014/001,PPGL,A792SSGR80,AZ50,0.361,1038,COG003,"TO技術處
FLATNESS : AIMING 1.9~1.95 LB/FT"
2506EFE041/003,PPGL,A792SSGR80,AZ50,0.483,1092,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2506EFE017/001,PPGL,A792SSGR80,AZ50,0.381,1035,COG007,TO技術處: THICKNESS TOLERANCE: 0/+0.003
2506EFE018/001,PPGL,A792SSGR80,AZ50,0.381,1035,COG003,TO技術處: THICKNESS TOLERANCE: 0/+0.003
2505DFD037/001,PPGL,A792MSSGR275,AZM210,0.8,1219,CIA008,"2025/5/13:補上色碼FL77Y/FL31Y

急件
1.請先生產底材，色碼待確認(PVDF50u/PVDF50u)"
2504DCD014/002,PPSUS,CSUS304-20,-,0.36,914,CIA008,由TWZ0887轉入，請勿投產。
2510DFD004/001,PPGI,CGCC-10,Z08,0.326,780,CIC001,取消訂單
2509DCD002/004,PPGL,CGLCC-20,AZ150,0.35,914,COA020,2025/9/24:新增此項次
2509EFE027/001,PPGL,A792SSGR80,AZ50,0.381,1038,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2509EFE031/001,PPGL,A792MSSGR275,AZM150,0.47,914,COA010,TO技術處 : THICKNESS TOLERANCE AS PER 1/2 ASTM STANDARD
2509EFE031/002,PPGL,A792MSSGR275,AZM150,0.47,914,COA010,TO技術處 : THICKNESS TOLERANCE AS PER 1/2 ASTM STANDARD
2509EFE032/002,PPGL,A792MSSGR275,AZM150,0.47,914,COA010,TO技術處 : THICKNESS TOLERANCE AS PER 1/2 ASTM STANDARD
2509EFE032/003,PPGL,A792MSSGR275,AZM150,0.47,914,COA010,TO技術處 : THICKNESS TOLERANCE AS PER 1/2 ASTM STANDARD
2509EFE033/001,PPGL,A792MSSGR275,AZM150,0.47,914,COA010,TO技術處 : THICKNESS TOLERANCE AS PER 1/2 ASTM STANDARD
2509EFE033/002,PPGL,A792MSSGR275,AZM150,0.47,914,COA010,TO技術處 : THICKNESS TOLERANCE AS PER 1/2 ASTM STANDARD
2506EFE025/003,PPGL,A792SSGR80,AZ50,0.361,1038,COG003,"TO 技術:
1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT"
2508DFD040/003,PPGL,CGLC400-10,AZ70,0.426,912,CIA007,"1.目標寬度:914mm~916mm。
2.單捲限重:3.8噸~4.3噸"
2509EFE016/003,PPGL,A792SSGR80,AZ50,0.381,1038,COG003,"9/18 修改厚度變異
TO 技術處:
THICKNESS - (AIM - 2%)"
2509EFE032/001,PPGL,A792MSSGR275,AZM150,0.47,914,COA010,TO技術處 : THICKNESS TOLERANCE AS PER 1/2 ASTM STANDARD
2509EFE026/003,PPGL,A792SSGR80,AZ50,0.381,1038,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2510DFD064/001,PPGL,CGLC400-30,AZ150,0.52,914,CIA008,急件
2510DFD066/001,PPGL,CGLC400-30,AZ150,0.52,914,CIA008,"2025/10/31Revised
1.更改色碼FL246→FL538

特急件~"
2504DFD099/001,PPGL,A792MSSGR550,AZM250,0.6,1219,CHA081,"1. 此為台塑工程案用料。
2. 此單有指定熱軋，請冷軋技術課挑選符合此訂單的限制條件的熱軋鋼捲。
3. 台塑經確認對單位重量有要求，需至少大於4.5731kg/m2，經與台塑
    及華明確認，冷軋底材厚度設定為0.57mm，因此此單厚度變異設定
    為+5.6%；目前設定此厚度的比重約為4.7252kg/m2。
4. 此單請會簽至R&D，並於生產時知會吳昭瑢處長"
2506EFE026/002,PPGL,A792SSGR80,AZ50,0.361,1038,COG003,"TO 技術:
1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT"
2506EFE026/003,PPGL,A792SSGR80,AZ50,0.361,1038,COG003,"TO 技術:
1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT"
2506EFE026/004,PPGL,A792SSGR80,AZ50,0.361,1038,COG003,"TO 技術:
1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT"
2506EFE026/005,PPGL,A792SSGR80,AZ50,0.361,1038,COG003,"TO 技術:
1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT"
2506EFE026/001,PPGL,A792SSGR80,AZ50,0.361,1038,COG003,"TO 技術:
1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT"
2506EFE024/002,PPGL,A792SSGR80,AZ50,0.361,1038,COG003,"TO 技術:
1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT"
2506EFE025/001,PPGL,A792SSGR80,AZ50,0.361,1038,COA001,"TO 技術:
1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT"
2506EFE025/002,PPGL,A792SSGR80,AZ50,0.361,1038,COG007,"TO 技術:
1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT"
2506EFE027/001,PPGL,A792SSGR80,AZ50,0.361,1038,COG007,"TO 技術:
1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT"
2506EFE027/002,PPGL,A792SSGR80,AZ50,0.361,1038,COG003,"TO 技術:
1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT"
2506EFE028/001,PPGL,A792SSGR80,AZ50,0.361,1038,COG003,"TO 技術:
1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT"
2506EFE028/002,PPGL,A792SSGR80,AZ50,0.361,1038,COG003,"TO 技術:
1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT"
2506EFE024/003,PPGL,A792SSGR80,AZ50,0.361,1038,COG007,"TO 技術:
1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT"
2506EFE024/004,PPGL,A792SSGR80,AZ50,0.361,1038,COA001,"TO 技術:
1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT"
2506EFE025/004,PPGL,A792SSGR80,AZ50,0.361,1038,COG003,"TO 技術:
1.請特別注意平坦度保證STEEPNESS & FLATNESS 板形≦12 I-UNIT"
2504DCD014/003,PPSUS,CSUS304-20,-,0.36,914,CIA008,由TWZ0887轉入，請勿投產。
2506EFD001/001,PPGL,A792MSSGR275,AZM150,0.5,1220,COA001,"TO 技術處：
1. 品證備註欄位請秀 : ORDER THICKNESS IS BMT 
2. MTC SHOW COIL LENGTH
3. BACK MARK:SYSCO ASTM PPGL-PVDF 0.50MM BC AZM150 YS 275 N/MM2, DATE
TO 生管: 
此張訂單為急單，請優先生產"
2504DCD014/001,PPSUS,CSUS304-20,-,0.36,914,CIA008,由TWZ0887轉入，請勿投產。
2504DFD092/001,PPGI,CGCD1-10,Z08,0.4,980,CIC035,"中美防火訂單
改善成型後背面漆掉漆屑
修改為新的背漆色碼BYG6A

生產時請知會R&D 吳昭瑢處長"
2506EFE043/002,PPGL,A792SSGR80,AZ50,0.381,1038,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2504DFD090/001,PPGL,CGLC400-30,AZ150,0.52,1219,CIA008,"1.限重4~4.9噸，最後一顆可不依限重。
2.請挑選較大顆HR。"
2504DFD090/002,PPGL,CGLC400-30,AZ150,0.52,914,CIA008,1.限重4~4.9噸，最後一顆可不依限重。
2504DFD090/003,PPGL,CGLC400-30,AZ150,0.52,914,CIA008,1.限重4~4.9噸，最後一顆可不依限重。
2509EFE028/001,PPGL,A792SSGR80,AZ50,0.381,1038,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2509EFE028/002,PPGL,A792SSGR80,AZ50,0.381,1038,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2509EFE026/004,PPGL,A792SSGR80,AZ50,0.381,1038,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2511EFE020/002,PPGL,A792SSGR80,AZ50,0.483,1092,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2509DFD063/001,PPGL,CGLCC-20,AZ150,0.52,914,CIA008,特急件~
2509EFE026/001,PPGL,A792SSGR80,AZ50,0.381,1038,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2509EFE026/002,PPGL,A792SSGR80,AZ50,0.381,1038,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2509DFD069/001,PPGL,A792MSSGR230,AZM180,0.476,1219,CIA008,"案名：中鼎兵工廠案
1.需求量：15噸"
2509DFD070/001,PPGL,A792MCQ,AZM150,0.6,1219,COA001,"案名：致圓方正工程案
1.需求量：23噸
2.限重4~5噸，最後一顆可不依限重。
3.修補漆*1"
2504DFD080/004,PPGL,CGLC400-32,AZ170,0.55,914,CIA008,"2025/06/02 Revised
1.煩請品證備註欄上註明：(1)底材符合CNS1237規範
                                           (2)高耐候PVDF產品

2025/05/07 Revised
1.更改數量15噸→30噸，無須將剩餘子剛投入項次2(FY33Z)。

1.新增項次4
2.生產3顆子鋼，朝限重3~4噸生產，剩餘子鋼投入項次2(FY33Z)。"
2506EFE039/006,PPGL,A792SSGR80,AZ50,0.381,1038,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2506EFE040/001,PPGL,A792SSGR80,AZ50,0.381,1038,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2506EFE040/002,PPGL,A792SSGR80,AZ50,0.381,1038,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2506EFE040/003,PPGL,A792SSGR80,AZ50,0.381,1038,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2504DLD001/001,TPPSUS,CSUS443-30,-,0.5,914,CIA008,"2025/04/30 Revised 修改產品別 PPSUS改為TPPSUS

投產不銹鋼443鋼號:
'31S43395B  0.5*914 ，13,394KG
'31S43397  0.5*914 ，14,319KG
'31S43398  0.5*914 ，14,129KG"
2504DLD001/002,TPPSUS,CSUS443-30,-,0.5,914,CIA008,"投產代工不銹鋼443鋼號:
'31S43396A  0.5*914 ， 14,374KG"
2505DFD013/001,PPGL,CGLC400-20,AZ150,0.45,960,COA010,"1. 直立式木架包裝。
2. 請依軋延率≧82%的規則採買熱軋。
3. 客戶表示因用戶端的大天車裁撤，因此必須降低最
    大限重；客戶拜託我們能否把最後一顆分切鋼捲，若是超過3.2噸，
     再次分切成2顆1噸多的小鋼捲，重量低於訂單限重客戶也願意
     一級品接受。"
2510DFD061/002,PPGI,CGCC-10,Z12,0.951,1200,CIC014,"1. 該訂單供應予東元。
2. 總厚度請aiming在1.0mm以內。
3. 最後一顆鋼捲可不依限重分切。"
2510DFD061/001,PPGI,CGCC-10,Z12,0.951,1290,CIC014,"1. 該訂單供應予東元。
2. 總厚度請aiming在1.0mm以內。
3. 最後一顆鋼捲可不依限重分切。"
2511DFD007/001,PPGL,CGLC400-20,AZ150,0.45,960,COA010,"1. 直立式木架包裝。
2. 請依軋延率≧82%的規則採買熱軋。
3. 客戶表示因用戶端的大天車裁撤，因此必須降低最
    大限重；客戶拜託我們能否把最後一顆分切鋼捲，若是超過3.2噸，
     再次分切成2顆1噸多的小鋼捲，重量低於訂單限重客戶也願意
     一級品接受。"
2511DFD007/002,PPGL,CGLC400-20,AZ150,0.45,960,COA010,"1. 直立式木架包裝。
2. 請依軋延率≧82%的規則採買熱軋。
3. 客戶表示因用戶端的大天車裁撤，因此必須降低最
    大限重；客戶拜託我們能否把最後一顆分切鋼捲，若是超過3.2噸，
     再次分切成2顆1噸多的小鋼捲，重量低於訂單限重客戶也願意
     一級品接受。"
2505DFD014/001,PPGI,CGCC-10,Z12,0.951,1285,CIC014,"1. 總厚度請aiming在1.0mm以內。
2. 最後一顆鋼捲可不依限重分切。"
2505EFD006/001,PPGL,A792MSSGR550,AZM150,0.6,1000,COA001,"TO 原料: 
因為此訂單為工程訂單，請投大顆母捲生產(20噸左右)
2025/06/09*修改顏色敘述 SEA BLUE*"
2508DFD033/003,PPGL,CGLC570-20,AZ150,0.52,1219,CIA008,特急件
2505DFD044/001,PPGL,CGLC400-10,AZ70,0.426,912,CIA007,"1.目標寬度914-916.
2.單捲限重AIMING 3.0噸 ~ 3.6噸，不可以超過4.0噸(天車無法吊)."
2505DFD039/001,PPGL,CGLCD-10,AZ100,0.576,914,CIR025,"1. 客戶要求與1911DFD074/001相同材質。
2. 客戶要求厚度AIMING 0.625mm以下。
3. 此單生產時，請通知R&D朱嘉偉課長。
4. 請生管投入一顆原料就行了。

變更套筒， P -->  E"
2505DFD028/002,PPGI,CGCC-10,Z12,0.78,850,CIC002,烤漆 正背面 PE_25um (LYF85)
2506EFD003/002,PPGL,A792MSSGR275,AZM150,0.5,1220,COA001,"TO 技術處：
1. 品證備註欄位請秀 : ORDER THICKNESS IS BMT 
2. MTC SHOW COIL LENGTH 
3. BACK MARK:SYSCO ASTM PPGL-SMP 0.50MM BC AZM150 YS 275 N/MM2, DATE
TO原料/生管:
請投兩顆母鋼生產"
2506EFD003/003,PPGL,A792MSSGR275,AZM150,0.5,1220,COA001,"TO 技術處：
1. 品證備註欄位請秀 : ORDER THICKNESS IS BMT 
2. MTC SHOW COIL LENGTH 
3. BACK MARK:SYSCO ASTM PPGL-SMP 0.50MM BC AZM150 YS 275 N/MM2, DATE
TO原料/生管:
請投兩顆母鋼生產"
2506EFD005/001,PPGL,CGL570-20,AZ200,0.5,1250,COG001,"TO 技術處：
1. 品證備註欄位請秀 : ORDER THICKNESS IS TCT 
2. MTC SHOW COIL LENGTH
3.MTC SHOW "" LC NUMBER : 214925010314  AND DATE : 250325"
2506EFE039/005,PPGL,A792SSGR80,AZ50,0.381,1038,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2506EFE044/001,PPGL,A792SSGR80,AZ50,0.483,1092,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2506EFE041/002,PPGL,A792SSGR80,AZ50,0.483,1092,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2506EFE042/001,PPGL,A792SSGR80,AZ50,0.483,1092,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2506EFE042/002,PPGL,A792SSGR80,AZ50,0.483,1092,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2506EFE042/003,PPGL,A792SSGR80,AZ50,0.483,1092,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2506EFE041/001,PPGL,A792SSGR80,AZ50,0.483,1092,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2506EFE039/001,PPGL,A792SSGR80,AZ50,0.381,1038,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2506EFE039/002,PPGL,A792SSGR80,AZ50,0.381,1038,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2506EFE044/002,PPGL,A792SSGR80,AZ50,0.483,1092,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2506EFE044/003,PPGL,A792SSGR80,AZ50,0.483,1092,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2506EFE044/004,PPGL,A792SSGR80,AZ50,0.483,1092,COG003,"TO 技術處:
THICKNESS - (AIM - 2%)"
2505DFD038/002,PPGL,A792MCQ,AZM150,0.8,1217,CIA021,"急件
1.請依米數分切，650米一切，餘一小顆可不依限重。"
