CONK,cust_num,cust_num_name,Trader,Trader_name,buyer_cust,buyer_cust_name,A6SNO,STAND,SPEC,GAOF,OGAG,OWID,ZINC,CTTY,A5ANNE,A1SPLY,A1MTRL,A1STHR,A1GAG,A1WID,A3GAG,A7SNO,COLOT,PGAOT,COLOB,PGABT,USAGE,DEC2,OPCD,DEC6,BORE,SLEEV,BMAK,PCOD,GRNTE,WLOW,WUP
2504DFD067/004,TWZ0887,國內業務處,TWZ0887,國內業務處,TWZ0887,國內業務處,PS00037,SYSCO,CSUS304-20,0,0.46,914.0,-,BC,S1,YU,SUS304,SUS304,0.46,914.0,0.46,1G3804Z2,1G3804,25,BW73Y2,12.5,CIA008,戶外壁板,-,無選配,508,P,C989,A3,-,3.0,5.0
2505EFE036/001,US00170,WESTMANSTEEL,JP00004,台灣住友商事股份有限公司,US00170,WESTMANSTEEL,PG05679,ASTM,A653SSGR80,0,0.381,1029.0,G90,AC,H2,CH,SAE1008,SAE1008,2.2,1051.0,0.341,SWS2A2W1,SWS2A2,25,BW73A2,NOM,COG003,超耐候屋頂(保證年限),ON007,無選配,508,P,S000,E0,-,2.5,4.5
2504DFD023/003,TWS0078,?泰工業股份有限公司,TWS0078,?泰工業股份有限公司,TWS0078,?泰工業股份有限公司,PL05199,CNS,CGLCC-10,-8,0.216,830.0,AZ50,BC,S1,JSTC,1008MOD,SAE1008,2.01,845.0,0.201,1W0862L4,1W0862,NOM,BW7362,NOM,COR004,屋頂背板,-,無選配,508,P,CT01,D4,-,3.0,5.0
2505EFD001/001,TWS0087,禾寶實業股份有限公司,TWS0087,禾寶實業股份有限公司,BD00007,STEELMARK,PL03938,ASTM,A792MSSGR550,0,0.5,914.0,AZM150,AC,H2,CH,SAE1008,SAE1008,2.2,924.0,0.458,2L6902M4,2L6902,25,BW7362,NOM,COA001,屋頂,-,無選配,508,N,C134,E0,-,3.0,5.0
2503DFD083/002,TWP0009,弘博實業有限公司,TWP0009,弘博實業有限公司,TWP0009,弘博實業有限公司,PG04296,SYSCO,CGCC-10,0,0.3,988.0,Z12,AC,S1,CH,SAE1008,SAE1008,2.2,1010.0,0.285,AWA112W2,AWA112,NOM,BLE312,NOM,CIR005,白板,OA006,白板,508,E,C100,S7,-,1.2,1.6
2503DCD015/001,TWM0004,立宏鋼鐵股份有限公司,TWM0004,立宏鋼鐵股份有限公司,TWM0004,立宏鋼鐵股份有限公司,PS00037,SYSCO,CSUS304-20,0,0.46,914.0,-,BC,S1,YU,SUS304,SUS304,0.46,914.0,0.46,1C4601Y2,1C4601,25,BW73Y2,12.5,CIA008,戶外壁板,-,無選配,508,P,C989,A3,-,3.0,5.0
2503DCD015/004,TWM0004,立宏鋼鐵股份有限公司,TWM0004,立宏鋼鐵股份有限公司,TWM0004,立宏鋼鐵股份有限公司,PS00037,SYSCO,CSUS304-20,0,0.46,914.0,-,BC,S1,YU,SUS304,SUS304,0.46,914.0,0.46,RYF892Z1,RYF892,25,BW73Y2,12.5,CIA008,戶外壁板,-,無選配,508,S,C989,A3,-,3.0,5.0
2504DCD005/001,TWM0028,旭台浪板股份有限公司,TWM0028,旭台浪板股份有限公司,TWM0028,旭台浪板股份有限公司,PL05363,CNS,CGLC400-20,-1.4,0.52,914.0,AZ150,AC,S1,CSC,SAE1012,SAE1012,2.02,925.0,0.476,SY3562Y3,SY3562,25,BW73Y2,12.5,CIA008,戶外壁板,ON006,無選配,508,R,C814,D2,-,3.0,5.0
2504DCD007/001,TWM0028,旭台浪板股份有限公司,TWM0028,旭台浪板股份有限公司,TWM0028,旭台浪板股份有限公司,PL06473,ASTM,A792MSSGR550,4.8,0.376,914.0,AZM150,AC,H2,CSC,SAE1008,SAE1008,2.0,924.0,0.35,1W0862L4,1W0862,NOM,BW7362,NOM,CIA008,戶外壁板,ON006,無選配,508,N,C104,D2,-,3.0,5.0
2505EFE021/001,PK00002,AAAVENTURESLIMITED,PK00002,AAAVENTURESLIMITED,BD00047,M&RTRADING,PL03281,ASTM,A792MSSGR550,0,0.5,1219.0,AZM150,AC,H2,CSC,1008C,SAE1008,2.01,1229.0,0.458,SW5194Y1,SW5194,25,BW73Y2,12.5,COA001,屋頂,-,無選配,508,S,C848,E0,-,3.0,4.5
2504DFD021/002,TWP0002,隆豐企業股份有限公司,TWP0002,隆豐企業股份有限公司,TWP0002,隆豐企業股份有限公司,PL05266,CNS,CGLC570-20,-1.4,0.52,1219.0,AZ150,AC,H2,CSC,1008C,SAE1008,2.21,1229.0,0.471,SL6562Y3,SL6562,25,BW73Y2,12.5,CIA008,戶外壁板,ON006,無選配,508,R,C814,D2,-,3.0,5.0
2504EFE037/001,US00170,WESTMANSTEEL,JP00004,台灣住友商事股份有限公司,US00170,WESTMANSTEEL,PG05679,ASTM,A653SSGR80,0,0.381,1029.0,G90,AC,H2,CSC,1008C,SAE1008,2.01,1051.0,0.341,SWH532W1,SWH532,25,BW73A2,NOM,COG003,超耐候屋頂(保證年限),ON007,超耐候屋頂,508,P,S000,E0,-,2.5,4.5
2504EFE039/002,US00170,WESTMANSTEEL,JP00004,台灣住友商事股份有限公司,US00170,WESTMANSTEEL,PL04229,ASTM,A792SSGR50,0,0.508,1099.0,AZ50,AC,S1,CH,SAE1022,SAE1022,2.27,1115.0,0.471,SBH5Y4Y2,SBH5Y4,25,BW73Z2,NOM,COG003,超耐候屋頂(保證年限),ON007,超耐候屋頂,508,P,S000,E0,-,2.5,4.5
2504EFE039/003,US00170,WESTMANSTEEL,JP00004,台灣住友商事股份有限公司,US00170,WESTMANSTEEL,PL04229,ASTM,A792SSGR50,0,0.508,1099.0,AZ50,AC,S1,CSC,SAE1022,SAE1022,2.27,1115.0,0.471,SYT8N4Y1,SYT8N4,25,BW73Z2,NOM,COG007,超保固屋頂(保證年限),ON007,超耐候屋頂,508,P,S000,E0,-,2.5,4.5
2504EFE040/001,US00170,WESTMANSTEEL,JP00004,台灣住友商事股份有限公司,US00170,WESTMANSTEEL,PL04311,ASTM,A792SSGR80,0,0.381,1029.0,AZ50,AC,H2,CSC,1008C,SAE1008,2.01,1051.0,0.339,SYT9P4Y1,SYT9P4,25,BW73Z2,NOM,COG007,超保固屋頂(保證年限),ON007,超耐候屋頂,508,P,S000,E0,-,2.5,4.5
2503AIX002/001,CA00002,WESTFORMMETALINC.,CA00030,AMALGAMATEDTRADINGLTD.,CA00002,WESTFORMMETALINC.,PL06376,ASTM,A792SSGR33,0,0.508,1225.0,AZ50,AC,S1,MARU,1008LAK,SAE1008,2.01,1235.0,0.471,SYT9P4Y7,SYT9P4,25,SBH784,25,COG007,超保固屋頂(保證年限),ON007,超耐候屋頂,508,P,S000,D9,-,6.0,8.4
2505EFD001/002,TWS0087,禾寶實業股份有限公司,TWS0087,禾寶實業股份有限公司,BD00007,STEELMARK,PL03938,ASTM,A792MSSGR550,0,0.5,914.0,AZM150,AC,H2,CH,SAE1008,SAE1008,2.2,924.0,0.458,6W15P4Y1,6W15P4,25,BW7362,NOM,COA036,屋頂(SRI特殊要求),-,無選配,508,N,C134,E0,-,3.0,5.0
2503DFD083/003,TWP0009,弘博實業有限公司,TWP0009,弘博實業有限公司,TWP0009,弘博實業有限公司,PG02965,SYSCO,CGCC-10,0,0.3,1190.0,Z12,AC,S1,CH,SAE1008,SAE1008,1.9,1219.0,0.285,AWA112W2,AWA112,NOM,BLE312,NOM,CIR005,白板,OA006,白板,508,E,C100,S7,-,1.2,1.6
2505EFE037/001,US00170,WESTMANSTEEL,JP00004,台灣住友商事股份有限公司,US00170,WESTMANSTEEL,PL04311,ASTM,A792SSGR80,0,0.381,1029.0,AZ50,AC,H2,CH,SAE1008,SAE1008,2.2,1051.0,0.339,SYT9P4Y1,SYT9P4,25,BW73Z2,NOM,COG007,超保固屋頂(保證年限),ON007,超耐候屋頂,508,P,S000,E0,-,2.5,4.5
2504EFE048/001,CA00002,WESTFORMMETALINC.,CA00030,AMALGAMATEDTRADINGLTD.,CA00002,WESTFORMMETALINC.,PL03858,ASTM,A792SSGR80,0,0.381,1041.0,AZ50,AC,H2,CSC,1008C,SAE1008,2.01,1051.0,0.339,SBH784Y1,SBH784,25,BW73Z2,NOM,COG003,超耐候屋頂(保證年限),ON007,無選配,508,P,S000,E0,-,3.0,4.5
2506EFE014/003,US00531,VANTAGEMETALWORKS,US00540,"JREMETALDISTRIBUTOR,INC",US00531,VANTAGEMETALWORKS,PL03946,ASTM,A792SSGR80,0,0.361,1038.0,AZ50,AC,H2,CH,SAE1008,SAE1008,2.2,1051.0,0.319,SRH6W4Y1,SRH6W4,25,BW4CY2,12.5,COG003,超耐候屋頂(保證年限),ON007,無選配,508,P,S000,E0,-,2.73,4.54
2510DCD004/002,TWM0023,喬利鋼鐵工業股份有限公司,TWM0023,喬利鋼鐵工業股份有限公司,TWM0023,喬利鋼鐵工業股份有限公司,PL05363,CNS,CGLC400-20,-1.4,0.52,914.0,AZ150,AC,S1,CSC,SAE1012,SAE1012,2.02,925.0,0.476,SY3562Y3,SY3562,25,BW73Y2,12.5,CIA008,戶外壁板,ON006,無選配,508,R,C814,D2,-,3.0,5.0
2511DFD003/004,TWP0019,泉盈股份有限公司,TWP0019,泉盈股份有限公司,TWP0059,台灣松下電器股份有限公司,PG04658,CNS,CGCC-10,-2.4,0.326,797.0,Z08,BC,S3,CSC,SAE1008,SAE1008,2.0,835.0,0.321,AYF532W1,AYF532,25,BYF712,NOM,CIC001,冰箱側板(無毒),OA001,冰箱側板,508,E,S000,S3,R2,3.0,5.0
2510DCD006/001,TWM0004,立宏鋼鐵股份有限公司,TWM0004,立宏鋼鐵股份有限公司,TWM0004,立宏鋼鐵股份有限公司,PS00052,SYSCO,CSUS304-20,0,0.46,914.0,-,BC,S1,YU,SUS304,SUS304,0.46,914.0,0.46,1C4601Y2,1C4601,25,BW73Y2,12.5,CIA008,戶外壁板,-,無選配,508,P,C989,A3,-,3.0,5.0
2510DCD005/001,TWP0002,隆豐企業股份有限公司,TWP0002,隆豐企業股份有限公司,TWP0002,隆豐企業股份有限公司,PS00052,SYSCO,CSUS304-20,0,0.46,914.0,-,BC,S1,YU,SUS304,SUS304,0.46,914.0,0.46,2Y7304Z1,2Y7304,25,BW73Y2,12.5,CIA008,戶外壁板,-,無選配,508,P,C989,A3,-,3.0,5.0
2510DCD005/002,TWP0002,隆豐企業股份有限公司,TWP0002,隆豐企業股份有限公司,TWP0002,隆豐企業股份有限公司,PS00052,SYSCO,CSUS304-20,0,0.46,914.0,-,BC,S1,YU,SUS304,SUS304,0.46,914.0,0.46,1C4601Y2,1C4601,25,BW73Y2,12.5,CIA008,戶外壁板,-,無選配,508,P,C989,A3,-,3.0,5.0
2510DCD005/003,TWP0002,隆豐企業股份有限公司,TWP0002,隆豐企業股份有限公司,TWP0002,隆豐企業股份有限公司,PS00052,SYSCO,CSUS304-20,0,0.46,914.0,-,BC,S1,YU,SUS304,SUS304,0.46,914.0,0.46,RYF892Z1,RYF892,25,BW73Y2,12.5,CIA008,戶外壁板,-,無選配,508,S,C989,A3,-,3.0,5.0
2510DCD006/004,TWM0004,立宏鋼鐵股份有限公司,TWM0004,立宏鋼鐵股份有限公司,TWM0004,立宏鋼鐵股份有限公司,PS00052,SYSCO,CSUS304-20,0,0.46,914.0,-,BC,S1,YU,SUS304,SUS304,0.46,914.0,0.46,RYF892Z1,RYF892,25,BW73Y2,12.5,CIA008,戶外壁板,-,無選配,508,S,C989,A3,-,3.0,5.0
2512DFD001/001,TWP0019,泉盈股份有限公司,TWP0019,泉盈股份有限公司,TWP0059,台灣松下電器股份有限公司,PG04663,SYSCO,CGCD1-10,0,0.756,762.0,Z12,BC,D3,CSC,HRD3M,HRD3,2.87,777.0,0.764,ASY812W1,ASY812,24,BYF712,NOM,CIC005,洗衣機外殼(無毒),OA004,無選配,508,E,S000,D7,R2,3.0,5.0
2511EFE009/001,MU00006,PROFILESHEETLTD,HK00005,YIEHCORPORATIONLIMITED,MU00006,PROFILESHEETLTD,PL06543,SYSCO,CGL400-10,0,0.63,1000.0,AZ150,AC,S1,CH,SAE1012,SAE1012,2.22,1010.0,0.594,5R5804Y1,5R5804,25,BYE562,NOM,COA001,屋頂,-,無選配,508,P,C086,M4,-,3.0,4.5
2511EFE009/002,MU00006,PROFILESHEETLTD,HK00005,YIEHCORPORATIONLIMITED,MU00006,PROFILESHEETLTD,PL06543,SYSCO,CGL400-10,0,0.63,1000.0,AZ150,AC,S1,CH,SAE1012,SAE1012,2.22,1010.0,0.594,5L7902Y1,5L7902,25,BWE764,NOM,COA001,屋頂,-,無選配,508,P,C086,M4,-,3.0,4.5
2511DFD014/002,TWS0026,益大鋼鐵股份有限公司,TWS0026,益大鋼鐵股份有限公司,TWS0026,益大鋼鐵股份有限公司,PL05151,CNS,CGLCC-20,-1.4,0.52,914.0,AZ150,AC,S1,TTC,1008MOD,SAE1008,2.01,926.0,0.476,RYB892Y2,RYB892,25,BW73N2,NOM,COA012,琉璃瓦形浪板,OR002,無選配,508,S,C844,D2,-,3.0,5.0
2511DFD017/001,TWS0026,益大鋼鐵股份有限公司,TWS0026,益大鋼鐵股份有限公司,TWS0026,益大鋼鐵股份有限公司,PL05148,CNS,CGLCC-20,-1.4,0.52,914.0,AZ150,AC,S1,TTC,1008MOD,SAE1008,2.01,926.0,0.476,1V2561P1,1V2561,NOM,BW7362,NOM,CIA008,戶外壁板,ON006,無選配,508,R,C811,D2,-,3.0,5.0
2505EFE021/002,PK00002,AAAVENTURESLIMITED,PK00002,AAAVENTURESLIMITED,BD00047,M&RTRADING,PL03281,ASTM,A792MSSGR550,0,0.5,1219.0,AZM150,AC,H2,CSC,1008C,SAE1008,2.01,1229.0,0.458,SG3667Y1,SG3667,25,BW73Y2,12.5,COA001,屋頂,-,無選配,508,S,C848,E0,-,3.0,4.5
2505EFE021/003,PK00002,AAAVENTURESLIMITED,PK00002,AAAVENTURESLIMITED,BD00047,M&RTRADING,PL03281,ASTM,A792MSSGR550,0,0.5,1219.0,AZM150,AC,H2,CSC,1008C,SAE1008,2.01,1229.0,0.458,SR6287Y1,SR6287,25,BW73Y2,12.5,COA001,屋頂,-,無選配,508,S,C848,E0,-,3.0,4.5
2503DFD084/003,TWZ0887,國內業務處,TWZ0887,國內業務處,TWZ0887,國內業務處,PL05258,CNS,CGLC400-20,-1.4,0.52,1219.0,AZ150,AC,S1,CSC,SAE1012,SAE1012,2.02,1230.0,0.476,SY3562Y3,SY3562,25,BW73Y2,12.5,CIA008,戶外壁板,ON006,無選配,508,R,C814,D2,-,3.0,5.0
2503EFE066/001,US00312,TREASUREVALLEYSTEEL,JP00007,台灣三井物產股份有限公司,US00312,TREASUREVALLEYSTEEL,PL03843,ASTM,A792SSGR80,0,0.361,1038.0,AZ50,MIN,H2,MARU,1008LAK,SAE1008,2.01,1051.0,0.337,SYS9N4Y1,SYS9N4,25,BW3KY2,12.5,COG007,超保固屋頂(保證年限),ON007,超耐候屋頂,508,C,S000,E0,-,2.75,4.54
2505EFE032/024,CA00002,WESTFORMMETALINC.,CA00030,AMALGAMATEDTRADINGLTD.,CA00002,WESTFORMMETALINC.,PL04149,ASTM,A792SSGR33,0,0.508,1219.0,AZ50,AC,S1,MARU,1008LAK,SAE1008,2.01,1229.0,0.471,SRH494Y1,SRH494,25,BW73Z2,NOM,COG003,超耐候屋頂(保證年限),ON007,無選配,508,P,S000,E0,-,3.0,4.5
2504DFD028/002,TWP0002,隆豐企業股份有限公司,TWP0002,隆豐企業股份有限公司,TWP0002,隆豐企業股份有限公司,PL05769,CNS,CGLC400-20,0,0.45,960.0,AZ150,BC,S1,CSC,SAE1012,SAE1012,2.52,970.0,0.455,3Y7764Y1,3Y7764,NOM,BY60T2,NOM,COA010,輕捲門,ON009,無選配,508,P,C845,D7,-,2.5,2.8
2504DFD023/002,TWS0078,?泰工業股份有限公司,TWS0078,?泰工業股份有限公司,TWS0078,?泰工業股份有限公司,PL05879,SYSCO,CGLC-10,-7.3,0.52,914.0,AZ100,AC,S1,CH,SAE1008,SAE1008,2.2,924.0,0.461,1C1662Y2,1C1662,NOM,BW7462,NOM,COA034,大宗浪板（國內）,ON021,無選配,508,N,C840,D4,-,3.0,5.0
2505EFD001/003,TWS0087,禾寶實業股份有限公司,TWS0087,禾寶實業股份有限公司,BD00007,STEELMARK,PL06191,ASTM,A792MSSGR340,0,0.6,1180.0,AZM150,AC,S1,CH,SAE1022,SAE1022,2.27,1190.0,0.564,6W15P4Y1,6W15P4,25,BW7362,NOM,COA036,屋頂(SRI特殊要求),-,無選配,508,N,C134,E0,-,3.0,5.0
2505EFD001/004,TWS0087,禾寶實業股份有限公司,TWS0087,禾寶實業股份有限公司,BD00007,STEELMARK,PL03938,ASTM,A792MSSGR550,0,0.5,914.0,AZM150,AC,H2,CH,SAE1008,SAE1008,2.2,924.0,0.458,RYS862Y1,RYS862,30,BW73Y2,12.5,COA001,屋頂,-,無選配,508,S,C134,E0,-,2.5,5.0
2505EFD002/001,TWS0087,禾寶實業股份有限公司,TWS0087,禾寶實業股份有限公司,TT00007,ISLANDROOFING,PL06237,ASTM,A792MSSGR275,-3,0.5,1220.0,AZM150,BC,S1,CH,SAE1012,SAE1012,2.02,1230.0,0.49,SY9064Y1,SY9064,25,BW7362,NOM,COA001,屋頂,-,無選配,508,N,C160,P7,-,3.0,5.0
2505EFD002/002,TWS0087,禾寶實業股份有限公司,TWS0087,禾寶實業股份有限公司,TT00007,ISLANDROOFING,PL06237,ASTM,A792MSSGR275,-3,0.5,1220.0,AZM150,BC,S1,CH,SAE1012,SAE1012,2.02,1230.0,0.49,SY8664Y1,SY8664,25,BW7362,NOM,COA001,屋頂,-,無選配,508,N,C160,P7,-,3.0,5.0
2504DFD074/001,TWM0028,旭台浪板股份有限公司,TWM0028,旭台浪板股份有限公司,TWM0028,旭台浪板股份有限公司,PL05363,CNS,CGLC400-20,-1.4,0.52,914.0,AZ150,AC,S1,CSC,SAE1012,SAE1012,2.02,925.0,0.476,SW1862Y1,SW1862,25,BW73Y2,12.5,CIA008,戶外壁板,ON006,無選配,508,R,C814,D2,-,3.0,5.0
2504DFD061/001,TWM0028,旭台浪板股份有限公司,TWM0028,旭台浪板股份有限公司,TWM0028,旭台浪板股份有限公司,PL05363,CNS,CGLC400-20,-1.4,0.52,914.0,AZ150,AC,S1,CSC,SAE1012,SAE1012,2.02,925.0,0.476,SY9262Y1,SY9262,25,BW73Y2,12.5,CIA008,戶外壁板,ON006,無選配,508,R,C814,D2,-,3.0,5.0
2504EFE047/001,US00359,FORMASTEELLTD.,CA00030,AMALGAMATEDTRADINGLTD.,US00359,FORMASTEELLTD.,PL05763,ASTM,A792SSGR80,0,0.485,1086.0,AZ50,AC,H2,CH,SAE1008,SAE1008,2.2,1102.0,0.442,SWG2V4Y1,SWG2V4,25,BY15Z2,NOM,COG003,超耐候屋頂(保證年限),ON007,無選配,508,P,S000,E0,-,3.0,4.5
2504EFE048/002,CA00002,WESTFORMMETALINC.,CA00030,AMALGAMATEDTRADINGLTD.,CA00002,WESTFORMMETALINC.,PL03858,ASTM,A792SSGR80,0,0.381,1041.0,AZ50,AC,H2,CSC,1008C,SAE1008,2.01,1051.0,0.339,SYT9P4Y1,SYT9P4,25,BW73Z2,NOM,COG007,超保固屋頂(保證年限),ON007,超耐候屋頂,508,P,S000,E0,-,3.0,4.5
2504EFE048/003,CA00002,WESTFORMMETALINC.,CA00030,AMALGAMATEDTRADINGLTD.,CA00002,WESTFORMMETALINC.,PL03858,ASTM,A792SSGR80,0,0.381,1041.0,AZ50,AC,H2,CSC,1008C,SAE1008,2.01,1051.0,0.339,SWH684Y1,SWH684,25,BW73Z2,NOM,COG003,超耐候屋頂(保證年限),ON007,無選配,508,P,S000,E0,-,3.0,4.5
2504DFD090/004,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,PL05363,CNS,CGLC400-30,-1.4,0.52,914.0,AZ150,AC,S1,CSC,SAE1012,SAE1012,2.02,925.0,0.476,FW3864Y6,FW3864,25,BW73Y2,12.5,CIA008,戶外壁板,ON006,無選配,508,R,C815,D2,-,4.0,4.9
2506EFE042/004,US00022,NORTHWESTMETALS,US00505,TATAINTERNATIONAL(USA),US00022,NORTHWESTMETALS,PL03943,ASTM,A792SSGR80,0,0.483,1092.0,AZ50,AC,H2,CH,SAE1008,SAE1008,2.2,1102.0,0.441,SCS494Y1,SCS494,25,BW4CY2,12.5,COG003,超耐候屋頂(保證年限),ON007,無選配,508,P,S000,E0,-,2.73,4.54
2506EFE043/001,US00022,NORTHWESTMETALS,US00505,TATAINTERNATIONAL(USA),US00022,NORTHWESTMETALS,PL03889,ASTM,A792SSGR80,0,0.381,1038.0,AZ50,AC,H2,MARU,1008LAK,SAE1008,2.01,1051.0,0.339,SBS5V2Y3,SBS5V2,25,BW4CY2,12.5,COG003,超耐候屋頂(保證年限),ON007,無選配,508,P,S000,E0,-,2.73,4.54
2505EFD005/003,TWS0087,禾寶實業股份有限公司,TWS0087,禾寶實業股份有限公司,BD00035,"PRAN-RFL(SYLVAN)GROUP,BANGLADESH",PL04052,ASTM,A792MSSGR550,0,0.47,1000.0,AZM150,AC,H2,MARU,1008LAK,SAE1008,2.01,1010.0,0.428,SG4202Y2,SG4202,25,BW73Y2,12.5,COA001,屋頂,-,無選配,508,N,C108,E0,-,3.0,5.0
2505EFE033/001,PK00002,AAAVENTURESLIMITED,PK00002,AAAVENTURESLIMITED,BD00053,SONARGAONSTEELFABRICATELIMITED.,PL06431,ASTM,A792MSSGR550,-5.6,0.5,1250.0,AZM210,AC,H2,CH,SAE1008,SAE1008,2.5,1280.0,0.416,SL40Y4Y1,SL40Y4,25,BW73Y2,12.5,COG001,屋頂(保證年限),-,無選配,508,S,C851,E0,-,3.0,4.5
2505EFD005/004,TWS0087,禾寶實業股份有限公司,TWS0087,禾寶實業股份有限公司,BD00035,"PRAN-RFL(SYLVAN)GROUP,BANGLADESH",PL05674,ASTM,A792MSSGR340,0,0.47,1000.0,AZM150,AC,S1,CH,SAE1022,SAE1022,2.27,1010.0,0.432,SR4494Y2,SR4494,25,BW73Y2,12.5,COA001,屋頂,-,無選配,508,N,C108,E0,-,3.0,5.0
2506EFE005/001,US00170,WESTMANSTEEL,JP00004,台灣住友商事股份有限公司,US00170,WESTMANSTEEL,PL04311,ASTM,A792SSGR80,0,0.381,1029.0,AZ50,AC,H2,CSC,SAE1008,SAE1008,2.0,1051.0,0.339,SBH6V2Y1,SBH6V2,25,BW73Z2,NOM,COG003,超耐候屋頂(保證年限),ON007,超耐候屋頂,508,P,S000,E0,-,2.5,4.5
2505EFD005/001,TWS0087,禾寶實業股份有限公司,TWS0087,禾寶實業股份有限公司,BD00035,"PRAN-RFL(SYLVAN)GROUP,BANGLADESH",PL04052,ASTM,A792MSSGR550,0,0.47,1000.0,AZM150,AC,H2,CH,SAE1008,SAE1008,2.2,1010.0,0.428,SR4494Y2,SR4494,25,BW73Y2,12.5,COA001,屋頂,-,無選配,508,N,C108,E0,-,3.0,5.0
2505EFE038/004,US00170,WESTMANSTEEL,JP00004,台灣住友商事股份有限公司,US00170,WESTMANSTEEL,PL04311,ASTM,A792SSGR80,0,0.381,1029.0,AZ50,AC,H2,CH,SAE1008,SAE1008,2.2,1051.0,0.339,SLH784Y1,SLH784,25,BW73Z2,NOM,COG003,超耐候屋頂(保證年限),ON007,無選配,508,P,S000,E0,-,2.5,4.5
2505DLD001/002,TWS0112,和桑貿易股份有限公司,TWS0112,和桑貿易股份有限公司,TWS0112,和桑貿易股份有限公司,TP00011,SYSCO,CALC-20,0,0.5,914.0,-,BC,S1,CSA,SALC,SALC,0.5,914.0,0.5,NBW86SY1,NBW86S,NOM,BY60T2,NOM,CIR027,印刷室內天花板,ON008,印刷戶外壁板,508,S,S000,D2,-,1.5,3.0
2505DFD052/001,TWS0076,淀鋼國際股份有限公司,TWS0076,淀鋼國際股份有限公司,TWS0076,淀鋼國際股份有限公司,PL06496,CNS,CGLC400-30,0,0.576,1192.0,AZ150,BC,S1,CH,SAE1012,SAE1012,2.22,1202.0,0.582,UYF4Y2Y1,UYF4Y2,45,BW73Y2,12.5,CIA028,潔淨能升級型岩棉複合板(PVDF),ON028,戶外壁板,508,K,C815,D2,-,5.0,5.5
2504DFD073/001,TWP0002,隆豐企業股份有限公司,TWP0002,隆豐企業股份有限公司,TWP0002,隆豐企業股份有限公司,PL05258,CNS,CGLC400-20,-1.4,0.52,1219.0,AZ150,AC,S1,CH,SAE1012,SAE1012,2.02,1230.0,0.476,SW3362Y6,SW3362,25,BW73Y2,12.5,CIA008,戶外壁板,ON006,無選配,508,R,C814,D2,-,3.0,5.0
2505EFE032/013,CA00002,WESTFORMMETALINC.,CA00030,AMALGAMATEDTRADINGLTD.,CA00002,WESTFORMMETALINC.,PL03860,ASTM,A792SSGR80,0,0.508,1092.0,AZ50,AC,H2,CH,SAE1008,SAE1008,2.2,1102.0,0.466,SBH784Y1,SBH784,25,BW73Z2,NOM,COG003,超耐候屋頂(保證年限),ON007,無選配,508,P,S000,E0,-,3.0,4.5
2503EFE066/002,US00312,TREASUREVALLEYSTEEL,JP00007,台灣三井物產股份有限公司,US00312,TREASUREVALLEYSTEEL,PL03843,ASTM,A792SSGR80,0,0.361,1038.0,AZ50,MIN,H2,MARU,1008LAK,SAE1008,2.01,1051.0,0.337,SWH3X4Y1,SWH3X4,25,BW3KY2,12.5,COG003,超耐候屋頂(保證年限),ON007,無選配,508,C,S000,E0,-,2.75,4.54
2503EFE066/003,US00312,TREASUREVALLEYSTEEL,JP00007,台灣三井物產股份有限公司,US00312,TREASUREVALLEYSTEEL,PL03843,ASTM,A792SSGR80,0,0.361,1038.0,AZ50,MIN,H2,CH,SAE1008,SAE1008,2.2,1051.0,0.337,SYS5X4Y1,SYS5X4,25,BW3KY2,12.5,COG003,超耐候屋頂(保證年限),ON007,無選配,508,C,S000,E0,-,2.75,4.54
2503EFE066/004,US00312,TREASUREVALLEYSTEEL,JP00007,台灣三井物產股份有限公司,US00312,TREASUREVALLEYSTEEL,PL03843,ASTM,A792SSGR80,0,0.361,1038.0,AZ50,MIN,H2,CH,SAE1008,SAE1008,2.2,1051.0,0.337,SYS4X4Y2,SYS4X4,25,BW3KY2,12.5,COG003,超耐候屋頂(保證年限),ON007,無選配,508,C,S000,E0,-,2.75,4.54
2503EFE066/005,US00312,TREASUREVALLEYSTEEL,JP00007,台灣三井物產股份有限公司,US00312,TREASUREVALLEYSTEEL,PL03843,ASTM,A792SSGR80,0,0.361,1038.0,AZ50,MIN,H2,CH,SAE1008,SAE1008,2.2,1051.0,0.337,SBW764Y1,SBW764,25,BW3KY2,12.5,COG003,超耐候屋頂(保證年限),ON007,無選配,508,C,S000,E0,-,2.75,4.54
2504DFD041/001,TWS0026,益大鋼鐵股份有限公司,TWS0026,益大鋼鐵股份有限公司,TWS0026,益大鋼鐵股份有限公司,PL05856,CNS,CGLC400-30,-1.4,0.52,1220.0,AZ150,AC,S1,CSC,SAE1012,SAE1012,2.02,1230.0,0.476,FY3264Y3,FY3264,25,BW73Y2,12.5,CIA008,戶外壁板,ON006,無選配,508,R,C815,D2,-,4.0,5.0
2504DFD025/001,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,TWS0008,亞喬企業股份有限公司,PG04602,SYSCO,CGCC-10,0,1.2,1219.0,Z12,AC,S1,CSC,1008C,SAE1008,3.0,1229.0,1.194,6C2754W1,6C2754,25,BW7312,NOM,CIC034,空調控制箱體,OR008,無選配,610,E,C008,D4,-,10.0,12.0
